红桥区西沽街大成中环城,"117.152359,39.163208"
河西区陈塘庄古芳里,"117.246580,39.082798"
北辰区天穆镇普天里,"117.180973,39.190341"
滨海新区新港街贻芳嘉园,"117.710259,39.010591"
河北区建昌道贵桥里,"117.237142,39.172922"
北辰区北仓镇赤霞园,"117.133542,39.235434"
河西区东海街九江里,"117.258479,39.059566"
滨海新区汉沽九龙里,"117.789262,39.249771"
河西区挂甲寺北洋新里,"117.239174,39.093167"
河西区下瓦房福至里,"117.216752,39.107852"
红桥区西沽街西河名邸,"117.137489,39.166448"
西青区精武镇保利·和光尘樾,"117.093691,39.064380"
武清区杨村杏林公寓,"117.053911,39.382964"
和平区新兴街惠嘉公寓,"117.192895,39.115039"
武清区高村首创国际半岛伊维萨小镇,"116.833061,39.636870"
河西区东海街华江里,"117.261277,39.055345"
南开区兴南街悦府家园,"117.179667,39.134997"
河西区马场街四化里(河西),"117.203435,39.101909"
河西区天塔街宾水里,"117.183119,39.077048"
河北区王串场碧泽园,"117.217818,39.151444"
河北区江都路汇光西里,"117.240067,39.160202"
河北区王串场宇萃里,"117.231626,39.153277"
和平区南营门街香榭里,"117.184374,39.112486"
和平区南营门街金德园,"117.190267,39.118302"
红桥区芥园道宜兰里,"117.149542,39.150035"
河西区陈塘庄四季馨园,"117.259326,39.065396"
滨海新区开发区贝肯山金栗园,"117.712487,39.016017"
河西区挂甲寺景福里,"117.222629,39.097967"
河西区挂甲寺前程里(河西区),"117.220393,39.094457"
南开区广开街颂禹里,"117.164302,39.129059"
武清区下朱庄君利花园,"117.084107,39.316213"
南开区万兴街红磡公寓,"117.170841,39.119075"
滨海新区大沽街亚泰津澜,"117.662234,38.990793"
河北区望海楼金狮家园,"117.206593,39.150363"
河西区越秀路红波里,"117.213968,39.096899"
武清区南湖碧桂园听湖,"117.113194,39.337691"
东丽区东丽湖天安象屿智慧城-都城,"117.436019,39.166024"
东丽区东丽湖赏湖苑,"117.490170,39.182539"
河西区下瓦房闽侯路,"117.224943,39.105302"
河西区下瓦房信昌大楼,"117.221780,39.102563"
滨海新区杭州道康居园,"117.664748,39.039754"
武清区杨村广厦西里,"117.054179,39.373565"
静海区团泊东富力新城,"117.137353,38.886560"
南开区万兴街紫云里,"117.169756,39.121689"
河北区光复道林古里,"117.214568,39.151360"
河西区柳林街元山里,"117.265716,39.059895"
蓟州区于桥水库天一绿海,"117.448203,40.062698"
河西区挂甲寺湘江道,"117.236131,39.098009"
武清区体育中心盛世睿园,"117.007356,39.386366"
北辰区双街双街新家园,"117.108060,39.262221"
河西区新梅江全运村锦葵园,"117.256993,39.042610"
津南区海河教育园区锦绣大家,"117.362001,38.995999"
河西区挂甲寺景兴西里,"117.219492,39.100333"
河西区挂甲寺美宁公寓,"117.238624,39.095423"
红桥区丁字沽街桃花园西里,"117.167075,39.183198"
河东区常州道东惠家园,"117.261248,39.155122"
红桥区双环邨恒春里,"117.135816,39.196903"
北辰区双环邨人民家园,"117.126952,39.188654"
南开区长虹街雅云里,"117.142106,39.142392"
河东区二号桥街同心嘉园,"117.283118,39.099401"
西青区大寺首创福特纳湾金瀚园,"117.220079,39.001144"
南开区万兴街翠峰里,"117.162170,39.122867"
河西区马场街华悦大厦,"117.188247,39.090760"
北辰区双环邨井田公寓,"117.124507,39.190915"
南开区嘉陵道街沱江里,"117.148607,39.124032"
东丽区华明镇华润橡树湾香润轩,"117.392893,39.179558"
西青区中北镇景园里,"117.111957,39.127387"
北辰区北仓镇荣康园,"117.084442,39.205615"
河西区桃园街静安里(河西区),"117.201351,39.102956"
津南区辛庄首创城,"117.338186,39.021222"
河西区天塔街环湖东里,"117.186994,39.085620"
南开区万兴街临江里,"117.154308,39.126562"
南开区嘉陵道街川南公寓,"117.127196,39.123182"
滨海新区塘沽街中国塘,"117.680648,39.012341"
河西区挂甲寺华记里,"117.221729,39.098031"
津南区八里台融创星耀五洲,"117.354112,38.900178"
河北区光复道昌海公寓,"117.205228,39.146920"
西青区中北镇依丽园,"117.085574,39.118429"
红桥区西沽街水木天成依湖园,"117.131336,39.163963"
河西区东海街桂江里(河西区),"117.261999,39.053347"
蓟州区于桥水库州河湾南园,"117.425645,40.009031"
河西区桃园街静安里(河西区),"117.201351,39.102956"
河西区下瓦房富裕大厦,"117.230280,39.099834"
河西区友谊路柳江里(河西区),"117.209325,39.076571"
津南区咸水沽惠安花园,"117.393713,38.989349"
和平区劝业场福缘里,"117.190974,39.123066"
河西区马场街文静里,"117.200135,39.095453"
滨海新区新河街西江里,"117.638707,39.040991"
北辰区天穆镇绿岛家园,"117.148759,39.211519"
宝坻区海滨天宝福苑,"117.344277,39.728442"
武清区新湾香江广场,"117.070763,39.359371"
红桥区西沽街湘潭东里,"117.153809,39.161143"
河东区大直沽靓锦名居,"117.250051,39.116722"
西青区张家窝星河香堤园,"117.065621,39.069122"
河西区大营门孚德里,"117.216010,39.112072"
红桥区芥园道弘丽园,"117.158052,39.150921"
滨海新区大港街前进里,"117.449439,38.843199"
河西区下瓦房存诚里,"117.218199,39.106984"
武清区下朱庄君利新家园,"117.082840,39.312567"
河西区天塔街国风园,"117.189987,39.070253"
武清区下朱庄亿馨园,"117.072390,39.312768"
宝坻区建设路岳园小区,"117.302873,39.722221"
南开区王顶堤林苑北里,"117.142399,39.087274"
南开区向阳路密云里,"117.127709,39.142366"
和平区新兴街卫华里,"117.182056,39.103038"
河东区中山门街和睦北里,"117.264361,39.108857"
北辰区宜兴埠天士力花园,"117.201440,39.217596"
南开区万兴街佳音里,"117.173819,39.117594"
河西区挂甲寺新城小区,"117.234346,39.090163"
南开区万兴街佳音里,"117.173819,39.117594"
武清区东蒲洼街泽信公馆,"117.015352,39.406197"
河西区越秀路健春里,"117.209793,39.096066"
滨海新区海滨街庆福北里,"117.413303,38.680353"
南开区长虹街芙蓉南里,"117.157775,39.134162"
滨海新区中新生态城朗诗中福翡翠澜湾朗泓园,"117.787344,39.101646"
滨海新区塘沽街馨苑小区,"117.691843,39.007434"
河东区大直沽碧波园,"117.232744,39.108482"
西青区张家窝悦盛里,"117.026760,39.069664"
东丽区新立街丽新里,"117.325349,39.086091"
河北区建昌道富瀛洲花园,"117.226612,39.181225"
东丽区东丽湖月憬苑,"117.498686,39.181064"
和平区劝业场陕西路,"117.190998,39.123651"
河东区二号桥街福东北里,"117.304331,39.095746"
和平区新兴街卫华里,"117.182056,39.103038"
滨海新区新北街尚北园,"117.657796,39.063448"
河西区下瓦房西楼北里,"117.216085,39.096806"
南开区广开街卫安北里,"117.170986,39.141753"
蓟州区人民公园观澜雅苑,"117.393817,40.030190"
河北区望海楼金昆里,"117.206866,39.154185"
武清区下朱庄龙盛园,"117.075681,39.321130"
河北区建昌道建红里,"117.228954,39.173185"
南开区水上公园街爱俪园,"117.167375,39.095822"
南开区万兴街华章里,"117.158405,39.120373"
北辰区北仓镇泽天下,"117.118692,39.229998"
河西区柳林街骊山里,"117.263201,39.066840"
河西区马场街气象里,"117.185073,39.096175"
滨海新区新港街千间小区,"117.657878,39.020223"
河西区东海街三水南里,"117.263153,39.056982"
河北区建昌道桥园里,"117.239445,39.173421"
河西区友谊路新世纪城,"117.205727,39.074161"
西青区精武镇万科翡翠紫台,"117.107341,39.047829"
武清区中信广场新丽公寓,"117.081347,39.391401"
河西区东海街三水南里,"117.263153,39.056982"
南开区长虹街广灵里,"117.144376,39.132586"
河北区王串场容彩公寓,"117.231019,39.159226"
津南区咸水沽星宇花园,"117.398153,38.988323"
河西区东海街桂江里(河西区),"117.261999,39.053347"
河北区新开河北洋花园东悦里,"117.181102,39.177304"
河东区上杭路逸品轩,"117.274448,39.110321"
东丽区空港经济区复地悦诚花园,"117.406087,39.159588"
河北区建昌道春和仁居,"117.233300,39.176296"
西青区张家窝家诚里,"117.025349,39.075427"
东丽区空港经济区复地林与里,"117.402444,39.159957"
南开区万兴街春香里,"117.169973,39.120150"
津南区八里台融创星耀五洲,"117.354112,38.900178"
武清区中信广场金汇湾雅香园,"117.074216,39.389862"
津南区咸水沽世茂璀璨公园,"117.386494,38.983200"
武清区东蒲洼街新城悦隽央著,"116.992740,39.396262"
南开区广开街广泰园,"117.168069,39.136302"
河北区鸿顺里街宇轩里,"117.194426,39.159937"
津南区咸水沽祥福里,"117.379388,38.994589"
津南区咸水沽富力又一城合安园,"117.394598,39.002432"
南开区体育中心街金禧园,"117.175928,39.069916"
和平区劝业场万全道,"117.186913,39.122554"
红桥区西沽街水木天成闻涛园,"117.129412,39.159609"
津南区辛庄汀兰花园,"117.331297,39.033812"
河东区大王庄天津雅颂居,"117.216901,39.127311"
红桥区西于庄公元大观,"117.135998,39.174852"
河西区越秀路友谊楼,"117.207561,39.093353"
西青区中北镇旭辉御府,"117.067736,39.113471"
河北区新开河喜峰嘉园,"117.184070,39.182821"
津南区辛庄鑫港园,"117.319749,39.034543"
北辰区宜兴埠普旺里,"117.200884,39.198870"
东丽区东丽湖中建玖棠府,"117.472041,39.167465"
红桥区西沽街河怡花园,"117.134898,39.166694"
蓟州区盘山风景区时代花园(蓟州),"117.441691,40.059065"
北辰区集贤里红云新里,"117.132225,39.230541"
河东区万新村松风西里,"117.276611,39.144346"
南开区嘉陵道街莲安里,"117.125565,39.125026"
河北区望海楼望海楼北里,"117.195591,39.148898"
河东区春华街新博园,"117.215070,39.147094"
河西区下瓦房棉二大院,"117.222814,39.104757"
河西区友谊路光华里,"117.219848,39.085158"
河东区大王庄荣泰公寓,"117.237047,39.119194"
红桥区三条石尚都家园,"117.182601,39.153931"
津南区咸水沽雅晟轩,"117.373804,39.003468"
静海区团泊西基业世琾,"117.089808,38.962931"
河西区挂甲寺澳景大厦,"117.223907,39.098624"
红桥区咸阳北路正东公寓,"117.155478,39.181891"
南开区水上公园街立达公寓,"117.179017,39.085583"
宝坻区怡购河景园南区,"117.287863,39.701733"
红桥区邵公庄首创禧瑞府,"117.147460,39.154642"
红桥区咸阳北路永明西里,"117.145880,39.188768"
西青区张家窝星河荣御,"117.033682,39.073781"
滨海新区中新生态城和畅园(滨海新区),"117.747000,39.111911"
河北区建昌道育红东里,"117.224466,39.170368"
南开区华苑碧华里,"117.137084,39.080740"
河东区二号桥街河东融科瀚棠,"117.277457,39.105350"
滨海新区北塘街欣雅苑,"117.640286,39.124899"
东丽区金钟街溪水湾花园,"117.274891,39.199874"
滨海新区古林街福津园,"117.492561,38.848229"
河西区下瓦房同善里,"117.223378,39.103233"
滨海新区新河街南益名士华庭二期(玫瑰苑),"117.631557,39.051906"
南开区长虹街影院后胡同,"117.142379,39.142432"
北辰区瑞景居住区瑞宁嘉园,"117.125111,39.208658"
滨海新区杭州道滨海智谛山,"117.678771,39.040629"
和平区新兴街振河里,"117.185554,39.104325"
东丽区华明镇华润橡树湾仰润轩,"117.400731,39.172257"
河西区柳林街昆仑里(河西区),"117.268091,39.066269"
红桥区双环邨碧春园,"117.133024,39.200955"
河西区新梅江惠众家园,"117.266947,39.046523"
河北区王串场碧泽园,"117.217818,39.151444"
河西区马场街文静里,"117.200135,39.095453"
和平区新兴街起发里,"117.192034,39.107672"
河西区越秀路增强楼,"117.206123,39.094588"
和平区南营门街银行里,"117.195711,39.118838"
河西区柳林街天山里,"117.268039,39.067950"
南开区体育中心街时代奥城,"117.166522,39.076408"
西青区张家窝香锦园,"117.046167,39.062143"
河东区上杭路来安里小区,"117.249782,39.125167"
河西区东海街九江里,"117.258479,39.059566"
河东区富民路军旅公寓,"117.244229,39.099180"
武清区杨村广厦南里西区,"117.052674,39.370297"
红桥区铃铛阁南头窑大楼,"117.161343,39.144617"
滨海新区北塘街欣然苑,"117.636731,39.129068"
滨海新区海滨街华幸小区,"117.387765,38.664891"
河北区鸿顺里街仁恒河滨花园,"117.186868,39.158530"
河西区大营门解放南路（下瓦房街）,"117.222814,39.104757"
武清区杨村同泽园(武清区),"117.059995,39.382024"
河北区鸿顺里街月桂园,"117.196514,39.164971"
和平区小白楼大沽北路,"117.212559,39.122227"
河北区王串场焕玉里,"117.232058,39.151266"
滨海新区胡家园滨愉花园（远洋城6期）,"117.605805,39.035739"
滨海新区汉沽宝德时代蓝湾,"117.794382,39.240923"
武清区杨村五一阳光御园,"117.075087,39.362821"
河西区陈塘庄天房美棠,"117.243454,39.072277"
滨海新区杭州道唐山里,"117.649140,39.039230"
滨海新区中新生态城首创康桥郡,"117.749755,39.125144"
河西区东海街松江里,"117.258223,39.058559"
河西区东海街桂江里(河西区),"117.261999,39.053347"
西青区大寺佳和雅庭,"117.261087,38.996436"
南开区学府街馨达园(南开区),"117.155579,39.112074"
武清区武清其它畔水庭苑,"117.052638,39.436752"
河西区柳林街元山里,"117.265716,39.059895"
滨海新区中新生态城中福朗诗朗福园,"117.793497,39.099491"
红桥区西于庄中嘉花园怡水苑,"117.147001,39.173202"
西青区精武镇金地艺墅家溪锦苑,"117.125191,39.038732"
河东区上杭路第6大道第博雅园,"117.264460,39.115494"
东丽区华明镇华城庭苑,"117.293527,39.164622"
南开区万兴街三潭东里,"117.153870,39.118250"
西青区张家窝万科四季雅园,"117.037709,39.053967"
滨海新区古林街福汇园,"117.485440,38.853794"
河西区柳林街龙瀚南园,"117.284096,39.051726"
滨海新区新北街贻成豪庭,"117.653410,39.068847"
滨海新区新村街福安里(塘沽区),"117.648016,39.022395"
河东区二号桥街建新东里,"117.296026,39.092202"
河西区友谊路纯正里,"117.216633,39.077193"
河东区上杭路尚东雅园,"117.256820,39.123902"
河西区新梅江天津·瑞府,"117.215831,39.056376"
东丽区万新街海颂园,"117.303775,39.083915"
宁河区宁河天津海航城,"117.826674,39.329749"
河西区东海街华江里,"117.261277,39.055345"
滨海新区杭州道米兰世纪花园,"117.676915,39.039410"
河东区春华街裕阳花园,"117.213996,39.138118"
武清区体育中心北岸尚城,"117.011283,39.385830"
河北区铁东路敬贤里,"117.217102,39.185610"
津南区咸水沽合居园,"117.402860,38.997721"
滨海新区大港街荣华里(大港区),"117.444804,38.832093"
和平区新兴街世家新苑,"117.188685,39.110267"
东丽区新立街万科金域华府C区,"117.353173,39.086468"
河北区光复道秋星里,"117.207034,39.146324"
西青区辛口镇新民园,"116.972384,39.083173"
河北区鸿顺里街律纬路35号,"117.202054,39.165669"
北辰区小淀镇融创臻园,"117.178109,39.238989"
津南区双港景和园,"117.286261,39.025693"
武清区黄庄品澜花苑,"117.047361,39.350210"
河西区马场街围堤道200号,"117.200272,39.099966"
河东区上杭路万和里,"117.260944,39.123299"
西青区辛口镇新民园,"116.972384,39.083173"
河北区鸿顺里街律纬路35号,"117.202054,39.165669"
北辰区小淀镇融创臻园,"117.178109,39.238989"
津南区双港景和园,"117.286261,39.025693"
武清区黄庄品澜花苑,"117.047361,39.350210"
河西区马场街围堤道200号,"117.200272,39.099966"
河东区上杭路万和里,"117.260944,39.123299"
津南区咸水沽景明花园,"117.382812,38.995737"
河西区桃园街湛江路新村,"117.201817,39.104084"
武清区中信广场金汇湾儒香园,"117.074216,39.389862"
和平区新兴街兴河里,"117.183005,39.102722"
北辰区双街双街新家园,"117.108060,39.262221"
河西区桃园街元兴新里,"117.208339,39.101754"
蓟州区人民公园鼎丽园,"117.408432,40.046544"
西青区李七庄五矿榕园,"117.144827,39.048014"
河西区柳林街南海里,"117.272552,39.063826"
河东区唐家口嘉华里,"117.240882,39.129828"
武清区南湖云湖,"117.044560,39.384108"
津南区咸水沽华远景瑞海蓝城,"117.401526,38.981340"
河东区向阳楼阳光星期8昕旺南苑,"117.253391,39.135197"
河西区大营门东莱里,"117.222707,39.111557"
南开区鼓楼街龙亭家园,"117.183385,39.145223"
滨海新区北塘街龙湖九里晴川,"117.717595,39.106514"
河西区东海街华江里,"117.261277,39.055345"
北辰区果园新村朝阳里（北辰区）,"117.137641,39.224206"
武清区东蒲洼街集美雍阳,"117.016332,39.404800"
东丽区华明镇华富家园南区,"117.428193,39.169969"
滨海新区汉沽世嘉,"117.807865,39.247979"
北辰区北仓镇引河南里,"117.121550,39.234057"
津南区海河教育园区文德花园,"117.366501,38.995475"
津南区双港红磡领世郡普雅花园,"117.272176,39.023994"
武清区杨村潞水丽苑,"117.065661,39.372321"
南开区向阳路灵石里,"117.135066,39.141500"
河西区马场街德才里,"117.187079,39.100557"
和平区南营门街安宁里,"117.188517,39.118413"
南开区华苑莹华里,"117.140560,39.083765"
东丽区华明镇大唐印象唐雅苑,"117.401844,39.176980"
西青区大寺龙居花园,"117.245631,39.018981"
南开区华苑天华里社区,"117.137435,39.078339"
津南区辛庄大华·国展公园世家,"117.304085,39.015585"
河西区友谊路浏阳里,"117.215026,39.079669"
河西区天塔街李七庄北里,"117.187647,39.072533"
南开区向阳路冶金里,"117.128930,39.144995"
滨海新区新城镇禹洲悦府,"117.610989,38.986278"
武清区杨村栖仙温泉公寓中区,"117.045932,39.386677"
南开区向阳路大园新居,"117.132564,39.146618"
河西区东海街桂江里(河西区),"117.261999,39.053347"
南开区体育中心街阳光壹佰东园,"117.175928,39.069916"
河北区建昌道建红里,"117.228954,39.173185"
河北区宁园金泰花园,"117.220883,39.161115"
滨海新区中新生态城亿利国际生态岛,"117.743589,39.138371"
津南区八里台融创星耀五洲,"117.354112,38.900178"
津南区双港金地格林世界橄榄苑C区,"117.312879,39.046518"
河东区唐家口新开路355号,"117.226653,39.132719"
河西区下瓦房南华里,"117.226281,39.103975"
滨海新区大港街三春里,"117.457521,38.842073"
河西区越秀路中豪世纪花园,"117.218724,39.094861"
南开区鼓楼街龙亭家园,"117.183385,39.145223"
津南区咸水沽惠安花园,"117.393713,38.989349"
武清区佛罗伦萨颐安花园西区北院,"117.037413,39.371369"
河西区东海街汉江里,"117.261093,39.059845"
北辰区集贤里虎林里,"117.131180,39.230558"
河西区桃园街安德公寓,"117.211651,39.103066"
滨海新区大港街阳春里,"117.469447,38.846419"
西青区中北镇万科西华府,"117.094947,39.101127"
静海区团泊东星河领御,"117.176002,38.900229"
河东区上杭路万欣城竹园,"117.267480,39.121394"
河东区大王庄新景安里,"117.224112,39.127020"
南开区王顶堤林苑北里,"117.142399,39.087274"
河东区大直沽汇贤里,"117.243992,39.118849"
河西区下瓦房信昌大楼,"117.221780,39.102563"
南开区广开街凯立天香家园,"117.157443,39.130845"
津南区咸水沽华远景瑞海蓝城,"117.401526,38.981340"
河北区铁东路兰景园,"117.195644,39.178427"
津南区辛庄金地艺境,"117.343537,39.021142"
南开区华苑日华里,"117.131823,39.087313"
北辰区北仓镇荣康园,"117.084442,39.205615"
南开区长虹街南开悦玺,"117.146993,39.137545"
武清区杨村楼前居民小区,"117.069693,39.373555"
河西区马场街向荣里,"117.197483,39.096819"
滨海新区大港街曙光里(大港区),"117.456790,38.848221"
河西区挂甲寺海景文苑,"117.241358,39.088138"
津南区辛庄金地艺境,"117.343537,39.021142"
北辰区宜兴埠远洋未来城明煦苑,"117.218034,39.205517"
武清区南湖花乡家园,"117.111950,39.336193"
和平区南营门街天新里,"117.184156,39.114296"
河北区宁园金泰花园,"117.220883,39.161115"
滨海新区杭州道新园里,"117.655118,39.038958"
南开区体育中心街奥城公寓,"117.168628,39.077695"
东丽区东丽湖金融街·听湖小镇,"117.493736,39.181987"
红桥区双环邨佳春里,"117.131898,39.195956"
津南区双港天房意境,"117.296334,39.011844"
河东区春华街城市星座大厦,"117.210285,39.144413"
武清区下朱庄颐洋花园,"117.072327,39.331620"
东丽区万新街上东金茂智慧科学城二期,"117.288233,39.112487"
北辰区双街融创运河宸院,"117.097848,39.284608"
武清区佛罗伦萨順驰城市艺墅,"117.031625,39.372756"
南开区王顶堤燕园里,"117.145934,39.095500"
和平区南市蓉芳里,"117.187248,39.128422"
河北区铁东路华宜里,"117.205317,39.188980"
河北区月牙河锦江南里,"117.258255,39.160568"
南开区万兴街清新园,"117.167425,39.123770"
河西区东海街三水南里,"117.263153,39.056982"
武清区高村首创国际半岛伊维萨小镇,"116.833061,39.636870"
和平区新兴街兴河里,"117.183005,39.102722"
东丽区新立街小东庄东盛园,"117.405893,39.061659"
蓟州区于桥水库州河湾南园,"117.425645,40.009031"
滨海新区杭州道荷香园,"117.651512,39.034136"
河西区东海街华江里,"117.261277,39.055345"
红桥区铃铛阁康华里,"117.160098,39.145726"
河西区东海街怡林园,"117.255408,39.049116"
宝坻区北城路东城原居,"117.316617,39.734159"
河西区尖山通达尚城,"117.238008,39.081421"
东丽区金钟街溪水湾花园,"117.274891,39.199874"
滨海新区古林街新城港东府,"117.495309,38.837809"
津南区辛庄汀芳花园,"117.328814,39.034761"
河西区挂甲寺景兴里,"117.222322,39.100043"
北辰区双环邨瑞达里,"117.117571,39.192197"
和平区新兴街乐昌里,"117.181388,39.106083"
津南区八里台大唐盛世,"117.362404,38.912270"
滨海新区大港街建安里,"117.450407,38.847277"
滨海新区大沽街碧桂园海昌天澜,"117.657941,38.994219"
河东区中山门街团结东里,"117.268069,39.105251"
西青区中北镇大地十二城枫桥园,"117.085270,39.129666"
河西区马场街向荣里,"117.197483,39.096819"
河西区大营门宝德里,"117.218754,39.109617"
南开区万兴街苏堤东里,"117.152420,39.123065"
北辰区双环邨佳荣里,"117.125259,39.194534"
河西区东海街华江里,"117.261277,39.055345"
南开区兴南街邮电公寓,"117.176981,39.135898"
南开区鼓楼街艺术公寓,"117.173411,39.141831"
蓟州区蓟州城区物资局家属楼,"117.408432,40.046544"
东丽区华明镇华润橡树湾香润轩,"117.392893,39.179558"
西青区西营门华城景苑盛和丽园,"117.104128,39.166274"
北辰区双街融创运河宸院,"117.097848,39.284608"
武清区佛罗伦萨翠亨花园,"117.027191,39.373974"
津南区咸水沽金浩园,"117.369516,38.989060"
南开区嘉陵道街云阳东里,"117.141140,39.124278"
滨海新区中新生态城和畅园(滨海新区),"117.747000,39.111911"
河西区越秀路健全里,"117.206510,39.096302"
河西区下瓦房闽侯路,"117.224943,39.105302"
河北区建昌道中国铁建国际城诗景凤苑,"117.229160,39.168793"
南开区水上公园街宁盛里,"117.177538,39.086539"
河西区尖山文才公寓,"117.231072,39.076914"
河北区月牙河大江里,"117.256167,39.162285"
西青区西营门怡和新村,"117.116873,39.172260"
和平区劝业场鸿记里,"117.196348,39.124723"
河东区太阳城太阳城皓林园,"117.275069,39.154392"
河东区常州道益寿东里,"117.249194,39.145350"
津南区八里台中海国际公园城,"117.353198,38.911245"
河西区挂甲寺新城小区,"117.234346,39.090163"
河东区万新村倚虹东里,"117.280773,39.140673"
津南区双港金秋新苑,"117.285195,39.006486"
北辰区天穆镇碧桂园中心天宸,"117.168609,39.227439"
南开区兴南街邮电公寓,"117.176981,39.135898"
南开区华苑居华里,"117.143759,39.080638"
河北区铁东路金水畔家园,"117.218848,39.185624"
东丽区华明镇金泰丽湾,"117.374100,39.166006"
河东区大王庄天津雅颂居,"117.216901,39.127311"
河西区东海街汉江里,"117.261093,39.059845"
河东区唐家口红星路178号,"117.238598,39.137977"
武清区静湖天和林溪雅园,"117.085952,39.335496"
东丽区二号桥街兴业里,"117.308446,39.090697"
西青区侯台中信·珺台碧珺园,"117.111060,39.103192"
和平区劝业场河南路,"117.196030,39.123656"
武清区南湖汇景园,"117.125426,39.326479"
北辰区天穆镇普天东里,"117.183084,39.192006"
河北区新开河汇川家园,"117.186697,39.173374"
南开区鼓楼街尚佳新苑,"117.178633,39.145382"
武清区体育中心枫丹天城,"117.021700,39.389374"
和平区小白楼文泉西苑,"117.204783,39.121231"
西青区精武镇学畔馨园,"117.123665,39.049175"
河北区望海楼金狮家园,"117.206593,39.150363"
津南区辛庄汀芳花园,"117.328814,39.034761"
河东区唐家口金堂南里,"117.243835,39.123410"
滨海新区胡家园滨雅花园（远洋城8期）,"117.613446,39.022459"
和平区新兴街朗文名邸,"117.190788,39.103995"
津南区咸水沽富力又一城合安园,"117.394598,39.002432"
河北区月牙河大江里,"117.256167,39.162285"
河东区二号桥街福东北里,"117.304331,39.095746"
河西区越秀路爱国里,"117.219255,39.097045"
滨海新区大港街阳春里,"117.469447,38.846419"
河北区建昌道桥园里,"117.239445,39.173421"
津南区咸水沽新建里(津南区),"117.397606,38.987793"
河西区友谊路纯美公寓,"117.215710,39.077325"
武清区南湖花乡家园,"117.111950,39.336193"
河东区二号桥街福东北里,"117.304331,39.095746"
河东区上杭路程林里小区,"117.262350,39.126870"
红桥区西于庄子牙里,"117.156860,39.168406"
滨海新区古林街经纬海清园,"117.498480,38.864356"
津南区咸水沽富力又一城合安园,"117.394598,39.002432"
和平区南营门街竞业里,"117.188170,39.113581"
河西区友谊路光华里,"117.219848,39.085158"
河东区春华街城市星座大厦,"117.210285,39.144413"
西青区张家窝津门正荣府,"117.053720,39.061294"
滨海新区古林街海川园,"117.508938,38.851154"
北辰区北仓镇引河北里,"117.120396,39.237620"
滨海新区新河街西江里,"117.638707,39.040991"
河北区光复道北岸华庭,"117.207583,39.148402"
河东区太阳城太阳城皓阳园,"117.272741,39.152205"
西青区李七庄中发里,"117.178718,39.058454"
河西区桃园街元兴新里,"117.208339,39.101754"
津南区辛庄鑫旺里,"117.347303,39.024842"
津南区咸水沽富力又一城合力园,"117.391454,39.000339"
北辰区双街融创运河宸院,"117.097848,39.284608"
武清区静湖静湖花园西区,"117.086472,39.339612"
滨海新区杭州道和平里(塘沽区),"117.663456,39.027545"
武清区黄庄奥克斯泉上文华,"117.044677,39.349671"
南开区长虹街太谷公寓,"117.146730,39.142348"
宝坻区海滨宝境栖园,"117.338789,39.731713"
红桥区咸阳北路丁字沽十一段,"117.156782,39.175610"
南开区华苑居华里,"117.143759,39.080638"
东丽区万新街金隅悦城丽悦园,"117.320048,39.109605"
西青区李七庄松江城武台馨苑,"117.168871,39.055353"
东丽区万新街舒畅园,"117.293309,39.114063"
武清区黄庄名湖花苑,"117.050314,39.341839"
南开区学府街时代公寓(南开),"117.163659,39.113391"
南开区向阳路冶金东里,"117.132111,39.144394"
武清区黄庄世茂国风雅颂,"117.039668,39.355393"
西青区津门湖富力津门湖西子花园,"117.202918,39.045750"
滨海新区古林街海韵园,"117.504868,38.859335"
津南区辛庄汀芳花园,"117.328814,39.034761"
北辰区瑞景居住区大运河府,"117.115071,39.201081"
南开区鼓楼街龙亭家园,"117.183385,39.145223"
和平区南市蓉芳里,"117.187248,39.128422"
南开区华苑莹华里,"117.140560,39.083765"
蓟州区人民公园富龙湾家园,"117.391936,40.039115"
津南区双林诚勤园,"117.291612,39.053215"
河西区天塔街环湖东里,"117.186994,39.085620"
南开区华苑绮华里,"117.135054,39.086144"
南开区华苑绮华里,"117.135054,39.086144"
河西区天塔街环湖南里,"117.186331,39.080986"
津南区咸水沽金地艺城瑞府,"117.413931,38.998024"
西青区张家窝社会山南苑,"117.047405,39.046629"
宝坻区南关大街宝平景苑西区,"117.290969,39.709070"
南开区长虹街临渭佳园,"117.142927,39.133295"
河东区唐家口嘉华里,"117.240882,39.129828"
滨海新区汉沽东滨温馨家园,"117.811621,39.265189"
河东区二号桥街建新东里,"117.296026,39.092202"
河东区靖江路泰兴公寓,"117.250121,39.156701"
和平区体育馆街新华路(体育馆街),"117.206396,39.119910"
武清区中信广场新丽公寓,"117.081347,39.391401"
武清区东蒲洼街中建壹方九里锦澜华庭,"116.987780,39.397765"
南开区王顶堤林苑西里,"117.146287,39.088816"
河西区柳林街龙瀚南园,"117.284096,39.051726"
滨海新区古林街汇康园,"117.497387,38.855873"
蓟州区蓟州城区康宏新村,"117.421280,40.049728"
河西区东海街华江里,"117.261277,39.055345"
河西区桃园街元兴新里,"117.208339,39.101754"
红桥区西营门和苑家园雅和园,"117.116779,39.158818"
河西区越秀路珠海里,"117.211484,39.098804"
滨海新区中新生态城世茂玖熙,"117.746971,39.107508"
河北区月牙河天江里,"117.248031,39.169774"
津南区咸水沽益华里,"117.389164,38.975949"
滨海新区北塘街泰达御景,"117.706313,39.111848"
