待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
急卖！怡水苑 两室通透带车位 位置好,2室,1厅,2卫,84.6,南北,高层(共6层),2000年建造,怡水苑,红桥,丁字沽街,中嘉路,南北 满五年 近地铁 ,93,10993
复地壹号湾精装两室 采光好 业主诚心出售,2室,2厅,1卫,86,南北,中层(共29层),2021年建造,复地壹号湾悦湾轩,塘沽,新港街,新金融大道,南北 满二年 车位充足 ,136,15814
新上房源   瑞盈园   电梯房   中楼层,2室,1厅,1卫,89.39,南北,中层(共17层),2005年建造,瑞盈园,北辰,瑞景街,龙门道 近辰旺路,南北 近地铁 绿化率高 ,125,13984
小区新 大两房 中间楼层采光好 带电梯 南向采光好 满五  ,2室,2厅,1卫,88.99,南,中层(共30层),2017年建造,盛世睿园,武清,杨村街,新城南东路东侧,南 满五年 ,105,11800
中新生态城 出行方便 临地铁 次新房 大两居,2室,1厅,1卫,86.71,南北,中层(共17层),2023年建造,和馨园,滨海新区,中新生态城,和畅路,南北 满五年 次新房 ,112,12917
碧水里 近医院 近地铁 商圈成熟 高楼层视野无遮挡 出行方便,2室,1厅,1卫,89.36,东南,高层(共6层),1996年建造,碧水里,河北,王串场街,金钟河东街38号,东南 满五年 近地铁 ,123,13765
程林街 南向采光好 临地铁 商圈成熟 电梯房 医疗配套成熟,2室,1厅,1卫,82,南,低层(共20层),2010年建造,香兰嘉园,东丽,程林街,沙柳北路,南 满五年 近地铁 ,108,13171
盛庭名景花园 出行方便 大两居 满五   近医院 电梯房,2室,1厅,1卫,85.33,南,低层(共22层),2022年建造,盛庭名景花园,北辰,瑞景街,辰景路 近新园路,南 满五年 近地铁 次新房 ,116,13595
大两房 密度低 南向采光好 临地铁 电梯房 精装可拎包入住,2室,2厅,1卫,88,南,低层(共16层),2010年建造,鲲贝园,滨海新区,中新生态城,和惠路 近和畅路,南 满五年 ,115,13069
南北通透 带电梯 密度低 正规商品房 小三居 满二,3室,2厅,1卫,93,南北,低层(共8层),2015年建造,颐尚花园,武清,下朱庄街,文汇路,南北 满二年 ,124,13334
急售房 正荣小3室 东边户 业主送车位 中间层,3室,2厅,1卫,94.15,南北,中层(共26层),2016年建造,正荣润璟湾,西青,中北,御河道 近曦露路,南北 绿化率高 ,175,18588
南向采光好 双卫生间 小区新 电梯房 高楼层采光充足,3室,2厅,2卫,94.77,南,高层(共8层),2014年建造,龙盛园,武清,下朱庄街,乐仁道,南 满五年 ,140,14773
唐雅苑前排小高  价格合适  就这一套,3室,2厅,1卫,95.25,南北,高层(共11层),2018年建造,大唐印象唐雅苑,东丽,华明镇,康惠路 近弘愿道,南北 热门小区 近地铁 配套成熟 ,115,12074
燕宇艺术家园南北通透H户型   中间楼层  满五  ,2室,2厅,1卫,90,南北,中层(共6层),2003年建造,燕宇艺术家园,北辰,瑞景街,辰昌路 近龙泉道,南北 满五年 近地铁 ,125,13889
婚房 颐滨花园 小三居 低密宜居 满二 次新小区 电梯房,3室,2厅,1卫,93.84,南,低层(共11层),2020年建造,颐滨花园,武清,下朱庄街,文汇路,南 满二年 次新房 ,126,13428
贻成学府壹号 临地铁 次新房 交通便捷 停车方便,2室,2厅,1卫,88,南北,中层(共30层),2022年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,南北 满二年 车位充足 ,123,13978
地铁房  2楼2楼红桥本   房  近医院 出行方便 商品房,2室,1厅,1卫,89.64,南,低层(共6层),2000年建造,佳安里,北辰,佳荣里街,佳宁道,南 满五年 近地铁 ,123,13722
生态城北师大对门  精装修三室 三面朝阳 拎包入住,3室,2厅,2卫,118,南北,低层(共16层),2020年建造,滨海红星天铂曦园,滨海新区,中新生态城,新平道,南北 满二年 次新房 多人关注 ,147,12458
华城景苑盛和嘉园 2室1厅1卫 全明户型 拎包入住,2室,1厅,1卫,80,南北,高层(共11层),2014年建造,盛和嘉园,西青,西营门,营冰路61号,南北 ,116,14500
中建壹方九里.好地段.3居.房龄新.小区环境优美.配套齐全,3室,2厅,2卫,95.12,南,低层(共11层),2021年建造,中建壹方九里锦澜华庭,武清,杨村街,新开路,南 满二年 车位充足 人气热搜 ,158,16611
急售 中片 夕阳里 81平 125万 三室一厅 价格可议,3室,1厅,1卫,81.73,东西,高层(共6层),1998年建造,昔阳里,南开,向阳路,密云路49号,东西 满五年 近地铁 ,125,15295
工农村高档小区 诺德名苑 精装两室 干净整洁 诚意出售,2室,1厅,1卫,87.72,南北,中层(共30层),2018年建造,中铁诺德名苑,塘沽,工农村街,河北西路126号,南北 ,115,13110
保利玫瑰湾三期 景观楼座两居室 全南格局 急售价能谈,2室,1厅,1卫,81.5,南,高层(共32层),2013年建造,溪水河畔花园,东丽,金钟街,昆仑路,南 满五年 车位充足 ,118,14479
双街镇 近地铁 大两居 产权清晰 带电梯 朝南 满五  ,2室,2厅,1卫,90,南,中层(共34层),2013年建造,国耀上河城,北辰,双街镇,双新大道 近顺境路,南 满五年 ,122,13556
奥林匹克花园玉兰苑 高楼层采光充足 医疗配套成熟 商品住宅,2室,1厅,1卫,94.33,南北,高层(共6层),2000年建造,奥林匹克花园玉兰苑,北辰,瑞景街,龙泉道 近辰康路,南北 满二年 近地铁 采光较好 ,143,15160
朝南 房龄新 中间楼层 满五   精装修 小三房,3室,2厅,1卫,90.02,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南 满五年 ,135,14997
过五年 精装修拎包入住 带车位 南北通透 诚意卖 价格可议,2室,1厅,1卫,84.02,南北,高层(共7层),2004年建造,流霞新苑,红桥,西沽街,新红路,南北 满五年 近地铁 ,119,14164
仁恒滨河湾 有电梯 交通便利 满五 近地铁 刚需两居,2室,2厅,1卫,93.7,南,低层(共25层),2017年建造,仁恒滨河湾,津南,海河教育园区,达文路3号,南 满五年 近地铁 户型方正 ,145,15475
天房  宅 精装交付纯一手新房 阳面两居 随时看房 急售,2室,1厅,1卫,86,南,高层(共25层),2018年建造,盛庭名景花园,北辰,瑞景街,辰景路 近新园路,南 满二年 近地铁 ,128,14884
  来了！北岸尚城房子太合适了可谈,2室,2厅,1卫,101.34,南北,低层(共31层),2009年建造,北岸尚城,武清,杨村街,翠通路 近强国道,南北 ,130,12829
生态城 精装洋房两居室 南北通透 北师大附近 一次没住着急卖,2室,2厅,1卫,88,南北,低层(共9层),2019年建造,远洋天铂湾瀞园,滨海新区,滨海城区,永盛路,南北 次新房 ,120,13637
振业御湖 南北通透 近地铁 中间楼层 交通便捷 刚需小三居,3室,2厅,1卫,89,南北,中层(共18层),2023年建造,振业御湖,滨海新区,滨海城区,云山道,南北 唯一住房 次新房 ,145,16293
大沽街 高楼层视野好 南北通透 房龄新 满五   装修好,3室,1厅,1卫,89.89,南北,高层(共26层),2016年建造,海昌天澜,塘沽,大沽街,安阳道,南北 房东直卖 满五年 ,115,12794
  河府 大两室 双地铁环伺 商圈成熟 配套齐全 次新小区,2室,2厅,1卫,82.3,南,中层(共32层),2020年建造,大运河府,北辰,瑞景街,北辰道,南 近地铁 房东急售 随时可看 ,108,13123
仁恒滨河湾南北两居室~有钥匙~户型方正~采光好无遮挡,2室,2厅,0卫,93.7,南,中层(共25层),2018年建造,仁恒滨河湾,津南,海河教育园区,达文路3号,南 满五年 近地铁 ,133,14195
杨村街 近医院 交通便利 密度低 房龄新 大两房 南北通透,2室,2厅,1卫,111.12,南北,低层(共7层),2016年建造,和平里南区(武清),武清,杨村街,泉州南路32号,南北 房东直卖 满二年 ,125,11250
辛庄 次新小区 南向采光好 大两房 装修好,2室,1厅,1卫,93.06,南,低层(共7层),2020年建造,首创城明景苑,津南,辛庄,鑫怡路,南 次新房 ,140,15045
时代华庭 刚需小三居 高楼层视野好 产权清晰 满五 正南朝向,3室,2厅,1卫,100.88,南,共5层,2005年建造,时代华庭,西青,杨柳青,新华道,南 满五年 ,135,13383
满五 交通便利 购物方便 商品住宅 电梯房 高楼层采光充足,2室,1厅,1卫,95,南,高层(共23层),2014年建造,鸿正富贵嘉园,塘沽,新港街,春雨路 近新港三号路,南 满五年 近地铁 ,139,14632
春曦书院电梯高楼层精装2室,2室,1厅,1卫,90,南北,高层(共29层),2020年建造,春曦书院,静海,静海镇,宙纬路,南北 满五年 次新房 ,128,14223
业主降价急售 盛世睿园 三居只要110万 有钥匙随时看 光明,3室,2厅,1卫,110.92,南北,低层(共27层),2015年建造,盛世睿园,武清,杨村街,新城南东路东侧,南北 满二年 户型方正 ,110,9918
龙湖天宸原著 刚需小三居 小区新 高楼层视野好 近地铁,3室,2厅,1卫,92,南,高层(共8层),2018年建造,龙湖天宸原著,津南,海河教育园区,和慧南路257号,南 满五年 近地铁 车位充足 ,175,19022
欣康苑 产权清晰 南北通透 电梯房 次新小区 近地铁,2室,1厅,1卫,89.65,南北,中层(共24层),2020年建造,欣康苑,塘沽,北塘街,欣滨道,南北 满二年 次新房 ,86,9593
李桃园 正南朝向 出行方便 满二 高楼层采光充足 小区新,2室,2厅,1卫,91.71,南,高层(共24层),2015年建造,李桃园,津南,双港,天津大道,南 满二年 近地铁 ,97,10577
旭辉香郡 商业配套成熟 商品住宅 电梯房 满五   次新小区,2室,1厅,1卫,84.03,南北,中层(共11层),2020年建造,旭辉香郡,塘沽,胡家园街,海兴路 近和商道,南北 满五年 次新房 ,82,9759
宣惠园 低密宜居 满二   正规商品房 大两房 南北通透,2室,1厅,1卫,85,南北,高层(共26层),1995年建造,宣惠园,津南,北闸口,宣惠路,南北 满二年 户型方正 多人关注 ,58,6824
购物方便 高楼层采光充足 得房好 精装修 交通便捷 大两房,2室,2厅,1卫,91,南北,高层(共34层),2013年建造,国耀上河城,北辰,双街镇,双新大道 近顺境路,南北 满五年 ,111,12198
世嘉花苑 满二   刚需两居 正南朝向 中间楼层采光好,2室,2厅,0卫,95.65,南,中层(共6层),2012年建造,世嘉花苑,武清,石各庄镇,政府路,南 满二年 ,40,4182
必看好房！香雍玖合洋房 轻奢精装修 三室双卫 好楼层 没住过,3室,2厅,2卫,127,南北,中层(共7层),2021年建造,香雍玖和,武清,杨村街,光明道 近新兴路,南北 满二年 绿化率高 ,220,17323
欣然苑 有电梯 精装好房 高楼层视野无遮挡 大两房 满五  ,2室,1厅,1卫,82,南,高层(共25层),2020年建造,欣然苑,塘沽,北塘街,欣发道 近嘉顺路,南 满五年 次新房 ,82,10000
南北通透 刚需两居 电梯房 高楼层视野无遮挡,2室,1厅,1卫,81.46,南北,高层(共27层),2013年建造,鸿儒新园(南区),津南,北闸口,泽惠道,南北 有电梯 ,60,7366
佳美苑 商品房 精装修 南北通透 次新房 大两居,2室,1厅,1卫,90,南北,中层(共32层),2020年建造,佳美苑,塘沽,胡家园街,黑猪河路,南北 有电梯 次新房 ,65,7223
蓉锦花园 商品住宅 满二   楼龄新 南北通透 得房好,2室,2厅,1卫,94.75,南北,中层(共6层),2016年建造,蓉锦花园,武清,下伍旗镇,旗良公路,南北 满二年 ,28,2956
出售雍盛电梯两室精装一套70万可议,2室,1厅,1卫,96,南北,高层(共11层),2012年建造,雍盛花苑,武清,汊沽港镇,南环路,南北 有电梯 ,70,7292
秋瑞家园 满二年 税费低 看房方便,2室,1厅,1卫,92.18,南北,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,南北 近地铁 ,108,11717
雅居乐滨河雅郡 次新房 密度低 刚需小三居 南北通透,3室,1厅,1卫,89,南北,高层(共9层),2022年建造,雅居乐滨河雅郡,滨海新区,中新生态城,中生大道,南北 满二年 次新房 ,110,12360
景瑞翰邻 满二 临地铁 交通便捷 正南朝向 中间好楼层,3室,2厅,1卫,94,南,中层(共6层),2020年建造,景瑞翰邻,津南,海河教育园区,津南 雅馨路 近泰明路,南 满二年 近地铁 次新房 ,178,18937
纯洋房社区 小区环境好 性价比高 出行方便教育资源成熟,3室,2厅,2卫,110,南北,中层(共7层),2023年建造,新城金樾府,滨海新区,中新生态城,安定路 近海旭道,南北 满二年 车位充足 户型方正 ,185,16819
恒大山水城(东区) 大两居 精装可拎包入住 中间楼层采光好,2室,2厅,1卫,92.4,南,中层(共32层),2016年建造,恒大山水城(东区),武清,泗村店镇,碱东路,南 满二年 车位充足 ,56,6061
远洋城滨翔花园 交通便利 满五 临地铁 产权清晰 南北通透,2室,1厅,1卫,86,南北,低层(共34层),2012年建造,远洋城滨翔花园,塘沽,胡家园街,津塘公路7612号,南北 满五年 ,82,9535
万科城安湖园 次新房 板楼 产权清晰 中间好楼层 南北通透,3室,1厅,1卫,89,南北,中层(共18层),2021年建造,万科城安湖园,塘沽,胡家园街,和角道,南北 满二年 次新房 ,90,10113
满五 中间楼层 精装修 小区新 电梯房 南北通透 动静分离,3室,2厅,1卫,119,南北,中层(共18层),2015年建造,和悦花园,武清,杨村街,泉发路,南北 满五年 ,162,13614
宝坻 塞纳世家（逸城雅园） 2室1厅,2室,1厅,1卫,87.8,南,高层(共22层),2017年建造,逸城雅园,宝坻,钰华街,环城南路 近开元路,南 ,80,9112
翔鹤园  南北通透精装两室  改地采暖   随时看房,2室,2厅,1卫,87,南北,高层(共6层),1997年建造,翔鹤园,塘沽,新河街,杭州道59号,南北 满五年 ,80,9196
北辰区宜兴阜宜鹏园2室1厅,2室,1厅,1卫,91.36,南北,低层(共24层),2005年建造,宜鹏园,北辰,宜兴埠,三千路,南北 满二年 近地铁 ,105,11493
精装自住满五  精装自住满五  ,2室,2厅,1卫,89,南北,高层(共34层),2011年建造,远洋城滨瑞花园,塘沽,胡家园街,远洋城一支路,南北 满五年 ,84,9439
远洋城滨尚花园 产权清晰 满五   刚需两居 板楼 南北通透,2室,1厅,1卫,87,南北,中层(共32层),2012年建造,远洋城滨尚花园,塘沽,胡家园街,远洋城道 近新胡路,南北 满五年 户型方正 ,76,8736
北闸口 满二 中间好楼层 南北通透 精装好房 大两房,2室,1厅,1卫,86,南北,共5层,1999年建造,建新公寓(津南),津南,北闸口,津歧公路,南北 满二年 多人关注 ,42,4884
急卖！民和巷花园 一楼金角 精装三室 带小院 看房随时,3室,2厅,1卫,92.38,南北,低层(共15层),2017年建造,万科民和巷A区,东丽,新立镇,东平路,南北 满五年 近地铁 车位充足 ,182,19702
小三室 电梯 宇泰家园 三期 93平米 实拍 有房本,3室,1厅,1卫,93,南北,高层(共33层),2019年建造,宇泰家园,西青,大寺,梨双路,南北 次新房 多人关注 ,66,7097
29万可议买70年大产权南北通透上下150平米可做四室哟,2室,2厅,1卫,91,南北,高层(共6层),2012年建造,怡景花园,武清,陈咀镇,陈嘴路,南北 满二年 ,31,3407
通透两室 交房状态 精装未入住 看房有钥匙,2室,2厅,1卫,87,南北,高层(共21层),2021年建造,万科滨海大都会观涛苑,滨海新区,滨海城区,大连东道,南北 满二年 近地铁 次新房 ,185,21265
佳美苑 商品住宅 南北通透 有电梯 商业配套齐全,2室,1厅,1卫,90,南北,低层(共15层),2012年建造,佳美苑,塘沽,胡家园街,黑猪河路,南北 有电梯 ,55,6112
兴德里 两室通厅 四楼好楼层 看房方便,2室,2厅,1卫,93.9,南,中层(共6层),1989年建造,兴德里,大港,胜利街,育秀街149号,南 满五年 ,98,10437
东丽湖 满二 南向采光好 大两居 次新小区 精装修 带电梯,2室,2厅,1卫,86.3,南,低层(共26层),2019年建造,东丽湖万科城慕湖苑,东丽,东丽湖,景福道 近情景大道,南 房东直卖 满二年 次新房 ,63,7301
溪悦园精装一居室 带电梯中间层 有房本 满五年 采光好,1室,1厅,1卫,60,南,中层(共24层),2016年建造,溪悦园,西青,中北,中北大道,南 满五年 ,65,10834
聚龙园 精装修 满五   临地铁 交通便捷 超低密度,2室,2厅,1卫,94.97,南,低层(共6层),2005年建造,聚龙园,北辰,双街镇,顺境路212号,南 满五年 ,95,10004
生态城旅游区 北师大 远离高速 通透三室 送车位 好楼层能谈,3室,2厅,1卫,89.1,南北,高层(共11层),2016年建造,宝龙城南苑,滨海新区,中新生态城,海晨道 近安明路,南北 满五年 ,96,10775
43万可议电梯洋房带装修大两居室,2室,2厅,1卫,94,南北,中层(共6层),2016年建造,格兰小镇文悦园,武清,陈咀镇,梅石路,南北 满二年 ,45,4788
出售翡翠湾景园两室一厅一卫简单装修32万可议 随时可以看房,2室,1厅,1卫,97,南北,中层(共6层),2012年建造,翡翠湾景园,武清,汊沽港镇,汉王路,南北 ,33,3403
远洋城滨悦花园 出行方便 全明户型 大两房 近地铁,2室,2厅,1卫,87.97,南北,中层(共32层),2012年建造,远洋城滨悦花园,塘沽,胡家园街,远洋一支路 远洋城道,南北 ,82,9322
五千代办手拉手业务天华里中间楼层大两居可改三居 满五年,3室,1厅,1卫,86.42,南北,中层(共6层),1997年建造,天华里(南开),南开,华苑,华苑路 近锦环道,南北 满五年 近地铁 ,288,33326
新登记 开发区 智谛山 精装带车位 满五   随时看房,2室,2厅,1卫,89,南北,高层(共32层),2012年建造,滨海智谛山,塘沽,杭州道街,洞庭路,南北 满五年 绿化率高 多人关注 ,87,9776
邻北京！290万大边户别墅！一层带卧室！大花园车位,5室,2厅,4卫,232,南北,共3层,2016年建造,首创国际半岛梅诺卡小镇(别墅),武清,高村镇,凤港路,南北 满五年 ,290,12500
配套齐全 南北通透 带电梯 大两居 中间好楼层 满五  ,2室,2厅,1卫,84.99,南北,中层(共11层),2006年建造,学府雅居,大港,胜利街,育梁街268号,南北 房东直卖 满五年 ,68,8001
蒲瑞馨园(北区) 带电梯 南向采光好杨村街,3室,2厅,1卫,128,南,低层(共17层),2011年建造,蒲瑞馨园(北区),武清,杨村街,雍顺道,南 有电梯 ,165,12891
松风东里 中间楼层采光好 南北通透 交通便利 购物方便,2室,1厅,1卫,42,南北,中层(共6层),1986年建造,松风东里,河东,东新街,沙柳北路,南北 满五年 近地铁 ,67,15953
22W可议锦花园的一套大两房 产权清晰 拥有完全产权 楼龄新,2室,2厅,1卫,94.63,南北,高层(共6层),2016年建造,蓉锦花园,武清,下伍旗镇,旗良公路,南北 满二年 ,34,3593
大两室 有房本 干净整洁 拎包入住 无大税 急售,2室,1厅,1卫,88,南,共4层,2012年建造,荷月阁(北区),津南,小站,寿昌路,南 唯一住房 户型方正 ,43,4887
盛世豪庭2室2厅1卫61万97.94平方米,2室,2厅,1卫,97.94,南北,高层(共11层),2012年建造,盛世豪庭,武清,陈咀镇,梅石路,南北 房东直卖 满二年 ,61,6229
海雅园二楼三室 性价比高 超低密度 次新小区 双卫,3室,2厅,2卫,126,南,低层(共10层),2021年建造,中核海润府海雅园,大港,古林街,港东三道,南 车位充足 ,173,13731
新港街 次新房 交通便利 商业配套成熟 大两居 近地铁,2室,1厅,1卫,91,南北,高层(共30层),2020年建造,鸿正富贵嘉园,塘沽,新港街,春雨路 近新港三号路,南北 满五年 近地铁 次新房 ,105,11539
  ！南开附属旁通透三居室 业主急售,3室,2厅,1卫,95.63,南北,低层(共18层),2015年建造,首创国际半岛伊维萨小镇,武清,高村镇,凤港路,南北 满五年 ,76,7948
满五 商业配套成熟 近地铁 楼层好 医疗配套成熟 交通便利,1室,1厅,1卫,51.7,南,中层(共6层),1998年建造,康桥里,河北,建昌道街,杜鹃道431号,南 满五年 近地铁 ,57,11026
楼龄新 电梯房 大两居 购物方便 高楼层采光充足 南北通透,2室,1厅,1卫,89.68,南北,高层(共18层),2015年建造,福港园(津南),津南,双港,七大街,南北 有电梯 ,79,8810
瑞达里 临地铁 高楼层视野好 低密度社区 交通便利 电梯房,2室,1厅,1卫,82.21,南北,高层(共6层),2002年建造,瑞达里,北辰,瑞景街,龙武道 近辰通路,南北 满五年 近地铁 ,75,9123
奥林匹克石榴苑  低楼层楼座位置好   业主诚意出售,2室,1厅,2卫,99,南北,共5层,2006年建造,奥林匹克花园石榴苑,北辰,瑞景街,环瑞路153号,南北 满五年 近地铁 车位充足 ,160,16162
经纬城市绿洲学知华庭一室一厅精装 中间楼层送所有11中,1室,1厅,1卫,64,北,中层(共30层),2020年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,北 车位充足 ,74,11563
钻.石山两室 在售的房子里   的 有钥匙,2室,2厅,1卫,86.36,南,低层(共32层),2011年建造,招商钻石山星城,南开,体育中心,卫津南路,南 近地铁 ,289,33465
南站津门正荣府纯洋房社区现106平172w随时看房价格可以,3室,2厅,2卫,106,南北,低层(共7层),2021年建造,津门正荣府,西青,张家窝,瑞雪路,南北 满二年 近地铁 绿化率高 ,172,16227
津南八里台 中间楼层 南北通透 次新房 刚需两居 满二  ,2室,2厅,1卫,88,南北,中层(共18层),2021年建造,南园汀泽庭苑,津南,津南八里台,科技大道,南北 满二年 次新房 ,63,7160
福芳园 电梯房 楼层好 商圈成熟 满二 大两房,2室,2厅,1卫,105,南北,中层(共18层),2009年建造,福芳园,大港,古林街,海景八路,南北 满二年 ,113,10762
盛耀华府 有电梯 刚需两居 近医院 交通便利 南向采光好,2室,2厅,1卫,100.42,南,低层(共26层),2018年建造,盛耀华府,北辰,北仓,延吉道,南 满五年 ,145,14440
经纬二期通透大三居双卫精装修前排无遮挡全天采光13小11中,3室,2厅,2卫,124,南北,低层(共31层),2021年建造,经纬城市绿洲学府华庭,武清,豆张庄镇,新安路,南北 满二年 次新房 ,125,10081
满五 刚需两居 南北通透 交通便利 有电梯 高楼层视野无遮挡,2室,1厅,1卫,90.43,南北,高层(共30层),2011年建造,和苑全和园,红桥,西营门街,营玉路,南北 满五年 ,143,15814
胜利街 商业配套成熟 中间楼层采光好 近医院 南向采光好,3室,2厅,1卫,120.71,南,中层(共6层),1989年建造,兴德里,大港,胜利街,育秀街149号,南 ,119,9859
南开中芯私产一室带厅 适合陪 精装修,1室,1厅,1卫,40.9,东,高层(共7层),1997年建造,紫光苑,南开,兴南街,南门外大街,东 近地铁 ,126,30807
降价133万！！急售亚泰雍阳府泉昇中小紧邻杨村四中高铁站,3室,2厅,2卫,125,南北,中层(共7层),2022年建造,亚泰雍阳府,武清,黄庄街,建设路,南北 满二年 车位充足 ,133,10640
带电梯 小区新 南北通透 中间好楼层 大两房 满二,2室,1厅,1卫,84.44,南北,中层(共11层),2015年建造,港韵新苑,武清,汊沽港镇,富国路,南北 满二年 ,63,7461
小区新 电梯房 满五 南北通透 出行方便 临地铁 居家自住,2室,2厅,1卫,112,南北,低层(共24层),2016年建造,碧水庄园,塘沽,西大沽街,安阳道 近迎宾大道,南北 满五年 ,118,10536
低容积 大两房 满五 南北通透 商品房,2室,1厅,1卫,92.4,南北,低层(共6层),1997年建造,佳苑里,西青,杨柳青,和平路,南北 满五年 ,98,10607
津南 网红别墅 带大院 赠挑空面积 有车位 满两年,3室,2厅,2卫,109,南北,共3层,2013年建造,中海公园城昱湖苑,津南,津南八里台,天嘉湖大道,南北 满二年 多人关注 ,118,10826
荷香园 满五 中间楼层 出行方便 密度低 大两房,2室,1厅,1卫,106,南北,中层(共6层),2000年建造,荷香园,塘沽,杭州道街,津塘公路1804号,南北 满五年 近地铁 ,139,13114
河东区大直沽街大直沽八号路2室1厅,2室,1厅,1卫,72.86,南北,高层(共6层),2000年建造,大直沽八号路四号,河东,大直沽,津塘路,南北 满五年 近地铁 多人关注 ,150,20588
生态城起步区通透大两室出售,2室,2厅,1卫,102,南北,低层(共15层),2003年建造,美林园,滨海新区,中新生态城,中天大道2377号,南北 满五年 ,139,13628
经纬城市绿洲学府华庭 电梯房 次新小区 商品房 南北通透,3室,2厅,1卫,124.06,南北,低层(共30层),2022年建造,经纬城市绿洲学府华庭,武清,豆张庄镇,新安路,南北 满二年 次新房 ,133,10721
贻芳嘉园 临地铁 商品住宅 购物方便 有电梯 大两居,2室,1厅,1卫,107.2,东西,低层(共17层),2005年建造,贻芳嘉园,塘沽,新港街,港滨路910号,东西 满五年 近地铁 ,116,10821
博盛园 南向采光好 带电梯 楼层好 大两居 近医院 满二,2室,2厅,1卫,95.1,南,中层(共18层),2012年建造,博盛园,武清,杨村街,泉州路 近来源道,南 满二年 ,106,11147
河东区大王庄街平顺里2室1厅,2室,1厅,1卫,59.55,南,共5层,1980年建造,平顺里,河东,大王庄,八纬路108号,南 满五年 近地铁 ,117,19648
金秋新苑 近地铁 出行方便 精装修 满五   南向采光好,2室,1厅,1卫,84,南,低层(共18层),2009年建造,金秋新苑,津南,双港,景荔道 近领世路,南 满五年 近地铁 ,79.5,9465
急售 11中 特变中央湖 好楼层 现房 品质社区,3室,2厅,2卫,114,南北,高层(共11层),2021年建造,特变中央湖,武清,豆张庄镇,慧源道,南北 车位充足 ,140,12281
河东区靓东花园两室一厅 低楼层 采光好 精装修 看房方便,2室,1厅,1卫,101.57,南,低层(共28层),2012年建造,靓东花园,河东,二号桥,雪莲南路 近茅山道,南 满二年 近地铁 ,139,13686
远洋香奈精装通透三居 婚房装修 好楼层 近城际小镇,3室,2厅,1卫,107.1,南北,中层(共21层),2017年建造,远洋香奈,武清,杨村街,翠通路 近强国道,南北 房东直卖 唯一住房 ,195,18208
二楼南北通透 找我0 . 8 就行 出行方便 买菜下楼就有,2室,1厅,1卫,63.1,南北,低层(共7层),2000年建造,友爱东里,河东,中山门,广宁路 近中山门四号路,南北 满五年 近地铁 ,115,18226
汊沽港镇 房龄新 中间楼层 朝南 电梯房 刚需两居 满五  ,2室,2厅,1卫,84,南,中层(共11层),2015年建造,港韵新苑,武清,汊沽港镇,富国路,南 满五年 ,66,7858
复康路旁临水西公园园艺研究所南北通透大三室采光无遮挡随时看,3室,1厅,1卫,120,南北,高层(共6层),1999年建造,园艺工程研究所小区,西青,侯台,复康路,南北 满五年 近地铁 ,120,10000
装修好 满二 交通便捷 南北通透 密度低 临地铁 诚心出售,2室,2厅,1卫,101,南北,低层(共18层),2010年建造,鲲贝园,滨海新区,中新生态城,和惠路 近和畅路,南北 满二年 ,129,12773
贻和花园 南北通透 中间好楼层 大两房 临地铁 购物方便,2室,2厅,1卫,106,南北,中层(共6层),2001年建造,贻和花园,塘沽,向阳街,福州道 近河北路,南北 满五年 ,118,11133
紫罗园 正南朝向 购物方便 楼层好 交通便利 刚需两居,2室,1厅,1卫,101,南,高层(共8层),2008年建造,紫罗园,北辰,集贤里,高峰路 近延吉道,南 ,130,12872
杨村街 朝南 带电梯 中间楼层采光好 满二 正规商品房,2室,2厅,1卫,86,南,中层(共14层),2011年建造,蒲瑞和园(西区),武清,杨村街,来源道,南 满二年 ,70,8140
河东区春华街华庆里2室1厅,2室,1厅,1卫,66.7,南北,中层(共6层),2008年建造,华庆里,河东,春华街,新阔路,南北 满五年 近地铁 ,133,19941
次新房 购物方便 临地铁 近医院 满二 南北通透 居家自住,2室,2厅,1卫,101.16,南北,高层(共33层),2020年建造,远洋琨庭春华园,开发区,第一大街,东海路,南北 满二年 近地铁 次新房 ,141.5,13988
万科新里程家园 满五   装修好 近地铁 朝南 得房率高,1室,1厅,1卫,63.14,南,低层(共11层),2012年建造,万科新里程家园,东丽,空港经济区,观湖路 近东六道,南 满五年 ,115,18214
河东区 杭路街万和里2室1厅,2室,1厅,1卫,70.88,南北,高层(共6层),1996年建造,万和里,河东,上杭路,顺达路,南北 满五年 近地铁 ,114,16084
福建里 医疗配套成熟 商圈成熟 中间楼层 低密宜居 出行方便,2室,1厅,1卫,62.2,东西,中层(共6层),1998年建造,福建里,塘沽,塘沽新村街,上海道2906号,东西 满五年 ,122,19615
洛川里 近地铁 精装好房 产权清晰 购物方便 医疗配套成熟,2室,1厅,1卫,61.3,南北,低层(共6层),1998年建造,洛川里,红桥,卲公庄街,西青道,南北 近地铁 ,120,19576
凯旋苑 大两室 南北通透 位置好有露台,2室,2厅,1卫,113,南,共4层,2005年建造,凯旋苑,大港,古林街,永明路,南 满五年 ,145,12832
