待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
宜淞园 2室1厅1卫 2500.0元 电梯房 精装修,2,1,75.0,高层(共33层)                                                    ,宜淞园,北辰,宜兴埠,东马路,"邻地铁,精装修,",2500,元/月
远洋未来城冬博苑 2室精装 拎包入住 房子干净 小区环境好,2,1,88.71,高层(共27层)                                                    ,远洋未来城冬博苑,北辰,普东街,宜白路,"邻地铁,精装修,",2600,元/月
吉宁里 2室1厅1卫 精装修 59平 配套齐全,2,1,59,高层(共6层)                                                    ,吉宁里,塘沽,向阳街,"杭州道,近河北路","邻地铁,押一付一,配套齐全,",1500,元/月
哈密道小学附近 南北通透 精装两室 拎包入住 看房随时,2,1,53.95,高层(共6层)                                                    ,蒙古路13-15号楼,和平,南市,蒙古路13,"邻地铁,配套齐全,精装修,",3500,元/月
中交海河公馆 1室0厅0卫 3700.0元 电梯房 精装修,1,0,53.75,高层(共28层)                                                    ,中交海河公馆,南开,鼓楼,北马路339号,"邻地铁,精装修,",3700,元/月
千间宿舍精装2室干净整洁舒适宽敞包采暖,2,1,60,高层(共6层)                                                    ,千间宿舍十二段,塘沽,新港街,正新路,"配套齐全,精装修,南北通透,随时看房,",1650,元/月
中兴旁边生物研究所远航商务，恒银金融，移动分公司可免押金,4,1,10,中层(共11层)                                                    ,新城长风雅著,东丽,空港经济区,"航宇路,近东七道","独立单间,独卫,押一付一,配套齐全,精装修,",750,元/月
冶金东里 精装两室 家具家电齐全 地铁2号线,2,1,56,中层(共6层)                                                    ,冶金东里,南开,向阳路,芥园西道,"邻地铁,配套齐全,精装修,",2400,元/月
益中附近！低楼层 全新家具 精装修！地暖供热 购物方便！！！,2,1,55,低层(共7层)                                                    ,同安道3-5号楼,和平,新兴街,同安道3,"邻地铁,配套齐全,精装修,",2800,元/月
宜淞园单间 包取暖包物业包宽带 拎包入住 随时看房有钥匙,1,0,15,低层(共30层)                                                    ,宜淞园,北辰,宜兴埠,东马路,"邻地铁,精装修,",1350,元/月
红磡公寓  靠近海光寺地铁 环球置地广场 金融街 宝利国际,2,1,70,中层(共7层)                                                    ,红磡公寓,南开,万兴街,西湖村大街22号,"邻地铁,配套齐全,南北通透,",2500,元/月
整租  大直沽街  津塘公寓  2室2厅,2,2,87.88,中层(共7层)                                                    ,津塘公寓,河东,大直沽,后台西路,"邻地铁,精装修,",3400,元/月
保利广场天汇中心整租一室，拎包入住，家电家具齐全，南市食品街,1,1,65,高层(共30层)                                                    ,天汇中心,和平,南市,"福安大街,近南市大街","邻地铁,配套齐全,精装修,",3000,元/月
免中介费，凯德国贸精装loft开间大采光好，可居住可办公,1,2,120,低层(共57层)                                                    ,凯德国贸,河西,大营门,南京路39号,"邻地铁,配套齐全,精装修,",5700,元/月
急租林苑北里 2室1厅1卫 南北通透 58平 配套齐全,2,1,56.51,高层(共6层)                                                    ,林苑北里,南开,王顶堤,林苑道36号,"邻地铁,配套齐全,精装修,",2800,元/月
新出！精装复式干净好房！爱琴海红星大厦2号楼挑高4.8可起照,1,1,52,高层(共20层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,配套齐全,精装修,",2800,元/月
紫江一室出租，干净整洁，拎包入住，可短租，可押一付一,1,1,58,中层(共18层)                                                    ,紫江馨苑,津南,咸水沽,"紫江路,近南华路","押一付一,配套齐全,精装修,有阳台,",1500,元/月
辰庆家园 2室1厅1卫 1200.0元 电梯房 精装修,2,1,52.35,中层(共26层)                                                    ,辰庆家园,北辰,北仓,朝阳路,"精装修,",1200,元/月
瑞桐家园 1室 电梯房 精装修 家电齐全 领包即住,1,1,56,低层(共32层)                                                    ,瑞桐家园,北辰,佳荣里街,光荣道,"配套齐全,精装修,随时看房,",1600,元/月
出租五一阳光锦园  一室精装  拎包入住  看房方便有钥匙,1,1,65,中层(共16层)                                                    ,五一阳光锦园,武清,杨村街,"团结路,近强国道","配套齐全,精装修,有阳台,随时看房,",1300,元/月
新出！轻轨附近 延安里 2室精装 62平 南北通透 干净整洁,2,1,62,高层(共6层)                                                    ,延安里,塘沽,向阳街,河北路3,"邻地铁,配套齐全,精装修,",1500,元/月
新梅江高端公寓 家电家具全齐包物业费 拎包入住  紧靠地铁站,3,1,120,低层(共30层)                                                    ,保富国际,西青,新梅江南,绥江道,"邻地铁,配套齐全,精装修,",3800,元/月
纯阳面大一室一厅，近医院，近地铁，南京路，出现方便,1,1,68.80,中层(共41层)                                                    ,融创星河和平印,和平,南营门,南京路231号,"邻地铁,配套齐全,精装修,",5000,元/月
漓江里 精装一室 包物业暖气费 看房子方便,1,1,38.45,共5层                                                    ,漓江里(滨海),塘沽,新河街,车站北路1751号,"配套齐全,精装修,南北通透,有阳台,",1400,元/月
远洋未来城沁雅苑 2室1厅1卫 2800.0元 电梯房,2,1,90.0,中层(共15层)                                                    ,远洋未来城沁雅苑,北辰,普东街,宜白路,"邻地铁,精装修,",2800,元/月
正荣府 3室1厅1卫 2700.0元 电梯房 精装修,3,1,98.52,低层(共33层)                                                    ,正荣府,北辰,宜兴埠,"沁河中道,近淮东路","邻地铁,精装修,",2700,元/月
都汇杰座 1室1厅1卫 1200.0元 电梯房 42.0平米,1,1,42.0,中层(共20层)                                                    ,都汇杰座,北辰,北仓,泰来西道,,1200,元/月
昆璞里 低层 精装两室 陪读上班 近十月市场,2,1,64.06,中层(共8层)                                                    ,昆璞里,河北,鸿顺里街,昆纬路51号,"邻地铁,精装修,",2800,元/月
祥诚新苑 电梯房 精装修两室 拎包入住 环境好 价格能商量,2,1,83.16,低层(共29层)                                                    ,祥诚新苑,北辰,集贤里,延吉道,"精装修,首次出租,随时看房,",2100,元/月
整租  望海楼街  金兆园  1室1厅,1,1,51.13,低层(共13层)                                                    ,金兆园,河北,望海楼街,金海道106号,"邻地铁,配套齐全,精装修,",2500,元/月
整租  体育中心街  奥城酒店式公寓  1室0厅,1,0,23.48,高层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,精装修,",1600,元/月
新港 包物业包取暖费，紫云雅苑两居室 邻开发区于家堡轻轨站9,2,1,76.8,低层(共18层)                                                    ,紫云雅苑,塘沽,新港街,春风路943号,"邻地铁,配套齐全,南北通透,",2000,元/月
五大街永旺，天津港贻航国际，产业园启航家园海港城两室押一付一,2,2,85,低层(共25层)                                                    ,启航嘉园,开发区,第五大街,跃进路,"邻地铁,押一付一,配套齐全,",2190,元/月
正荣府 2室2厅1卫,2,2,85,中层(共27层)                                                    ,正荣府,北辰,宜兴埠,"沁河中道,近淮东路","邻地铁,押一付一,配套齐全,",2000,元
东惠家园1室电梯房 精装修 家具家电齐全 近地铁公交 价可议,1,1,48.22,低层(共32层)                                                    ,东惠家园,河东,常州道,"凤凰路,近鲁山道","配套齐全,精装修,有阳台,",1400,元/月
天欣花园 2室2厅1卫 南北通透 精装修 82平,2,2,82,低层(共15层)                                                    ,天欣花园,东丽,华明镇,赤海路,"配套齐全,精装修,南北通透,有阳台,",1700,元/月
可短租 理工大学 津莱立交桥 凌奥产业园 姚村夜市 精装独卫,1,1,30,中层(共10层)                                                    ,融泰城,西青,李七庄,秀川路215号,"押一付一,配套齐全,精装修,南北通透,",1200,元/月
可短租押一付一 六号线迎风道 华苑 大学城 理工大学 智慧山,1,1,30,高层(共6层)                                                    ,华苑新城程华里,南开,华苑,华苑西路,"押一付一,配套齐全,精装修,",1450,元/月
房子精装修随时看房，业主诚心出租低楼层,2,1,71.18,中层(共6层)                                                    ,安华里,南开,华苑,华苑路,"配套齐全,精装修,南北通透,",2800,元/月
福芳园两室大桶厅，家具家电可配齐，空方也可以,2,1,105,低层(共18层)                                                    ,福芳园,大港,古林街,海景八路,"精装修,",2200,元/月
可当2室用 人民医院地铁站旁陪读季龙悦花园 1室精装修 梯房,1,1,62.24,低层(共17层)                                                    ,龙悦花园,红桥,卲公庄街,芥园道,"邻地铁,配套齐全,精装修,",2880,元/月
新出！河东爱琴海精装复式阳面办公好房！带办公家具！有隔断房间,1,1,77.81,中层(共30层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,配套齐全,精装修,",3800,元/月
首租！首租！刚刚现场拍摄的图片 好房不等人 性价比高 错过无,2,1,77,中层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,配套齐全,精装修,",3200,元/月
双旦好房 无中介费   中医一附院旁  门口地铁510号线,1,1,55,低层(共30层)                                                    ,悦雅国际,西青,李七庄,雅乐道,"邻地铁,押一付一,配套齐全,",2000,元/月
压一付一 5号线职业大学 天津职业大学 北辰爱情海购物中心,1,0,40,中层(共28层)                                                    ,恒大御景湾,北辰,宜兴埠,"天广路,近淮河北道","邻地铁,押一付一,配套齐全,",1600,元/月
和平印 豪华一室 配置齐全 随时看房入住 居家必看好房,1,1,75.58,低层(共41层)                                                    ,融创星河和平印,和平,南营门,南京路231号,"邻地铁,配套齐全,精装修,",5000,元/月
新上！恒祥佳园 2室2厅1卫 电梯房 90平 精装修,2,2,90,中层(共24层)                                                    ,恒祥佳园,西青,新梅江南,卫津南路,"邻地铁,配套齐全,精装修,",2500,元/月
熙悦汇 地铁2号线附近 精装修电梯房 家具家电齐全,1,1,49,低层(共29层)                                                    ,熙汇广场,南开,黄河道,南泥湾路4号,"邻地铁,配套齐全,精装修,",2300,元/月
年终特惠 可日租 可月租 品牌公寓 落地窗带阳台 独立卫浴,1,0,30,高层(共7层)                                                    ,塘汉路43号楼,塘沽,工农村街,塘汉路43号,"押一付一,配套齐全,精装修,南北通透,",1375,元/月
天欣花园 2室2厅1卫 82平 精装修 南北通透,2,2,82,中层(共15层)                                                    ,天欣花园,东丽,华明镇,赤海路,"配套齐全,精装修,南北通透,有阳台,",1700,元/月
天赐园，精装大两室可当三室用，南北通透，空房出租,2,1,114,中层(共20层)                                                    ,天赐园(和平),和平,南营门,新兴路1号,"邻地铁,精装修,南北通透,",6000,元/月
北辰红星国际广场(商住楼) 1室1厅0卫 2300.0元,1,1,57.25,高层(共21层)                                                    ,北辰红星国际广场(商住楼),北辰,北仓,津京公路,"精装修,",2300,元/月
出租一室一厅精装修1600电梯房特别干净随时看房入住有钥,1,1,83,中层(共14层)                                                    ,悦园,东丽,华明镇,幺六桥道,"配套齐全,精装修,有阳台,首次出租,",1600,元/月
整租  东丽湖  月憬苑  2室2厅,2,2,81.61,中层(共11层)                                                    ,月憬苑,东丽,东丽湖,情景大道,"配套齐全,精装修,",1800,元/月
万科仕林苑精装2室出租，附带地下车位，邻近地铁，提包入住,2,2,87.82,高层(共28层)                                                    ,万科仕林苑,津南,双港,东浯水道,"邻地铁,配套齐全,精装修,",3200,元/月
工农村  盛星东海岸  2室1厅，可帮忙搬家,2,1,84,高层(共32层)                                                    ,盛星东海岸,塘沽,工农村街,"云山道,近谐海路","精装修,南北通透,首次出租,随时看房,",1800,元/月
迎风里 2室1厅1卫 精装修 56平  王顶堤 近地铁,2,1,56.18,高层(共7层)                                                    ,迎风里,南开,王顶堤,迎风道1号,"邻地铁,配套齐全,精装修,",2700,元/月
万欣城菊园 精装三居 人车分流 临近万达商圈 出门地铁口,3,2,106.38,中层(共17层)                                                    ,万欣城菊园,河东,上杭路,津滨大道,"邻地铁,配套齐全,精装修,",4700,元/月
离学校近，离超市近，离商场近,3,1,97,高层(共34层)                                                    ,国耀上河城,北辰,双街镇,"双新大道,近顺境路","配套齐全,精装修,南北通透,有阳台,",2000,元/月
和盛苑 2室1厅1卫 1500.0元 电梯房 66.0平米,2,1,66.0,中层(共32层)                                                    ,和盛苑,塘沽,渤海石油街,"闸南路,近东台路",,1500,元/月
YOHO金角前广场右湖视野非常好 适合办公 好楼层 随时看房,1,1,50.68,高层(共8层)                                                    ,YOHO湾,东丽,空港经济区,中心大道,"配套齐全,精装修,南北通透,有阳台,",2500,元/月
1600包物业 精装小三室  温馨舒适,3,2,89,低层(共33层)                                                    ,中海公园城尚湖苑,津南,津南八里台,天嘉湖大道,"配套齐全,有阳台,首次出租,随时看房,",1600,元/月
天鹅湖两室，，万达广场，创业基地附近,2,2,93,中层(共16层)                                                    ,天鹅湖壹号,武清,杨村街,广源道,"配套齐全,精装修,南北通透,有阳台,",1700,元/月
海颂园47平米精装修全齐,1,1,47,中层(共30层)                                                    ,海颂园,东丽,先锋路,先锋路,"邻地铁,配套齐全,精装修,",1400,元/月
装修太棒了！真精致！爱琴海阳面边户超干净的大平层带隔断里外间,1,1,94.25,高层(共30层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,精装修,随时看房,",4500,元/月
新上东兴里一室自住装修业主诚心出租看房方便,1,1,50,低层(共9层)                                                    ,东兴里(西区),西青,中北,汪庄村中街,"配套齐全,精装修,有阳台,随时看房,",1700,元/月
双青盛锦园  精装三室  中间楼层  拎包入住,3,1,95,高层(共18层)                                                    ,盛锦园,北辰,青光,新景道,"配套齐全,精装修,有阳台,",2000,元/月
大王庄街 新义信里 近嘉里汇 55平一室 宽敞干净,1,1,49.59,中层(共6层)                                                    ,新义信里,河东,大王庄,九纬路51号,"邻地铁,配套齐全,精装修,",2400,元/月
鞍山西道地铁站附近 三潭东里 三潭路鞍山西道旁 中楼层环境好,1,1,36.56,高层(共7层)                                                    ,三潭东里,南开,万兴街,三潭路125号,"邻地铁,精装修,",2000,元/月
月光园1室电梯房，天津站附近临地铁，家具齐全，拎包入住。,1,1,59.40,高层(共28层)                                                    ,城市之光月光园(河东),河东,春华街,"新环路,近华兴道","邻地铁,",2300,元/月
佳和雅庭 2室1厅1卫 82平,2,1,82.13,低层(共6层)                                                    ,佳和雅庭,西青,大寺,"民盛道,近泽润路",,1600,元/月
柳苑公寓 1室1厅 55平,1,1,55,高层(共6层)                                                    ,柳苑公寓,河西,柳林,大沽南路1041号,"邻地铁,",1700,元/月
九通家园，一室一厅一卫，低楼层，东西齐全拎包入住,1,1,50,共5层                                                    ,九通家园,静海,静海镇,旭华道72号,"配套齐全,有阳台,",1300,元/月
实拍！神女像一中附近，渔阳中学，62平米二居室，家电齐全简装,2,1,62,共5层                                                    ,府君里,蓟州,文昌街,中昌北大道,"配套齐全,有阳台,",900,元/月
熙悦汇附近，向阳路街，整租乐园里 地铁二号线 芥园西道地铁站,1,1,31.42,低层(共6层)                                                    ,乐园里,南开,向阳路,集园道,"邻地铁,",1500,元/月
新村北里 一室一厅 现房 家具家电齐全拎包入住 近地铁,1,1,58,中层(共6层)                                                    ,新村北里,东丽,大毕庄镇,金钟街,"邻地铁,配套齐全,有阳台,",1166,元/月
桂江里大两室 紧邻人人乐购物中心 附近有一号线和六号线,2,1,60,共5层                                                    ,桂江公寓,河西,小海地,泗水道,"邻地铁,配套齐全,南北通透,",1800,元/月
芥园道街 宜兰里 近人民医院地铁学校 1室,1,1,37,高层(共6层)                                                    ,宜兰里,红桥,芥园街,红旗路,"邻地铁,配套齐全,",1400,元/月
紫罗园 2室1厅1卫 1800.0元 82.0平米,2,1,82.0,共5层                                                    ,紫罗园,北辰,集贤里,"高峰路,近延吉道",,1800,元/月
顺兴小区 一室房子精装修 城区中心位置 拎包入住,1,1,76.50,高层(共6层)                                                    ,顺兴小区,宁河,芦台镇,三八河路,,1000,元/月
新上高雅公寓两室出租，看房方便有钥匙,2,1,88,中层(共6层)                                                    ,高雅公寓,西青,新梅江南,卫津南路168号,"邻地铁,配套齐全,有阳台,",1900,元/月
大港区 四化里 一室 简装 三楼 可以短租 干净整洁拎包入住,1,1,39,共4层                                                    ,四化里(滨海),大港,胜利街,胜利街598号,"押一付一,配套齐全,南北通透,有阳台,",900,元/月
宾水北里 2室 南北通透,2,1,55.94,高层(共6层)                                                    ,宾水北里,河西,天塔,环湖中路,"邻地铁,配套齐全,南北通透,",2500,元/月
瑞景大三室 房子干净 采光好 视野佳 拎包入住,3,2,130,高层(共25层)                                                    ,瑞景花园,宝坻,海滨街,东城南路6号,"配套齐全,南北通透,有阳台,随时看房,",1400,元/月
秀水馨苑 2室1厅1卫 1200.0元 86.0平米,2,1,86.0,高层(共6层)                                                    ,秀水馨苑,北辰,小淀,北仓道,,1200,元/月
正康里 2室1厅1卫 2000.0元 102.0平米,2,1,102.0,高层(共7层)                                                    ,正康里,塘沽,塘沽新村街,宁波道576号,,2000,元/月
寿园里精装一室，室内设施齐全，拎包入住,1,1,35,中层(共6层)                                                    ,寿园里,河西,友谊路,黑牛城道200号,"邻地铁,押一付一,精装修,",1900,元/月
两室简装，家电全齐  随时入住  楼下是二号线卞兴站口,2,1,77,中层(共24层)                                                    ,运通花园,西青,中北,外环西路,"邻地铁,配套齐全,随时看房,",1550,元/月
双阳两室 不到顶 紧邻地铁 长租包暖气费 配套齐全 拎包入住,2,1,60,高层(共6层)                                                    ,昌图楼,红桥,咸阳北路街,昌图道3号,"邻地铁,配套齐全,南北通透,",1500,元/月
富满里 低楼层 1室1厅1卫 58平,1,1,58,低层(共6层)                                                    ,富满里,河西,天塔,黑牛城道219号,"邻地铁,配套齐全,有阳台,",1500,元/月
安华里 2室1厅1卫,2,1,74.50,高层(共6层)                                                    ,安华里,南开,华苑,华苑路,"邻地铁,",2900,元
安阳里(大沽) 1室1厅1卫 1200.0元 75.0平米,1,1,75.0,共5层                                                    ,安阳里(大沽),塘沽,大沽街,万顺街,,1200,元/月
出租顺和园两室一厅简装装修，拎包入住。,2,1,98,高层(共11层)                                                    ,顺和园,津南,双港,汇川路,"邻地铁,配套齐全,南北通透,",1800,元/月
福渔园 1室1厅1卫 1600.0元 电梯房 62.27平米,1,1,62.27,低层(共11层)                                                    ,福渔园,大港,古林街,海景十路,,1600,元/月
溪景苑 2室1厅1卫,2,1,120,低层(共6层)                                                    ,溪景苑,西青,中北,中北大道,"南北通透,",1700,元
南开长虹街  精装一居 2号线长虹公园 包供暖 年底 超值！,1,1,25,低层(共6层)                                                    ,宜川北里,南开,长虹街,黄河道,"邻地铁,押一付一,配套齐全,",1700,元/月
整租  挂甲寺街  美宁公寓  1室1厅,1,1,46.5,低层(共6层)                                                    ,美宁公寓,河西,挂甲寺,新围堤道1号,"邻地铁,精装修,",2550,元/月
鸿顺里街 1室0厅1卫,1,0,19,共3层                                                    ,鸿顺里街,河北,,,"邻地铁,",1000,元
长租每月1000元 广建里三室 拎包入住看房方便,3,1,115,高层(共6层)                                                    ,广建里,津南,咸水沽,"丰收路,近津沽路","配套齐全,随时看房,",1100,元/月
出租军详园80平米的房子家具家电齐全拎包入住干净整洁,2,1,80,低层(共26层)                                                    ,军祥园,东丽,军粮城,新村路,"随时看房,",1000,元/月
近天津55中学，医科大学总医院，卫津路，看房随时，拎包入住！,2,1,40,中层(共6层)                                                    ,文化村小区,和平,南营门,鞍山道,"邻地铁,精装修,",3100,元/月
湘江里 1室1厅1卫 1400.0元 40.73平米,1,1,40,共5层                                                    ,湘江里,塘沽,新河街,"广州道,近车站北路","配套齐全,南北通透,有阳台,",1300,元/月
中海 紧挨商业街 免费停车 精装三室 拎包入住 采光好,3,2,117.0,高层(共32层)                                                    ,中海公园城望湖苑,津南,津南八里台,天嘉湖大道,"配套齐全,精装修,南北通透,有阳台,",2000,元/月
旭辉香郡 2室1厅1卫 电梯房 84平 南北通透,2,1,84,低层(共32层)                                                    ,旭辉香郡,塘沽,胡家园街,"海兴路,近和商道","配套齐全,精装修,南北通透,有阳台,",1600,元/月
可短租月付  师范大学 工业大学 理工大学 姚村夜市 付村,1,0,30,低层(共6层)                                                    ,姚村景福花园,西青,精武,工一号路,"押一付一,配套齐全,精装修,南北通透,",1200,元/月
新港胜阳里精装2室 临开发区 楼下有大型菜市场 生活便利,2,1,68,高层(共6层)                                                    ,胜阳里,塘沽,新港街,新港路54号,"配套齐全,精装修,有阳台,",1700,元/月
龙禧园 无中介费 天津西站 地铁6号线 可短租一个月 月付,3,1,15,高层(共6层)                                                    ,龙禧园,红桥,西沽街,咸阳路,"独卫,独立阳台,押一付一,配套齐全,",980,元/月
金友花园 2室2厅1卫 精装修 配套齐全 随看随住,2,2,77,低层(共26层)                                                    ,金友花园,西青,大寺,赛达大道,"配套齐全,精装修,南北通透,有阳台,",1700,元/月
欣嘉园公寓一室精装 楼层好价位优惠 班车近,1,1,52,低层(共24层)                                                    ,欣嘉园公寓,塘沽,北塘街,嘉园路,"配套齐全,精装修,随时看房,",1200,元/月
短租1月起 1号线陈塘庄 配置齐全 拎包入住,3,1,20,低层(共6层)                                                    ,滨河新苑,河东,富民路,富民路,"独卫,独立阳台,邻地铁,",600,元/月
潞河丽苑 2室1厅1卫 1500.0元 电梯房 92.7平米,2,1,92.7,中层(共26层)                                                    ,潞河丽苑,北辰,北仓,辰昌路,,1500,元/月
免中介费 博盛园合租 荔隆 万达 大光明 创业总部基地附近,2,1,20,中层(共18层)                                                    ,博盛园,武清,杨村街,"泉州路,近来源道","独卫,独立阳台,配套齐全,",500,元/月
星耀五洲 包物业 精装两室 出租 拎包入住 采光好,2,2,87.0,高层(共33层)                                                    ,星耀五洲澜海庄园,津南,津南八里台,津港公路,"配套齐全,精装修,南北通透,有阳台,",1600,元/月
可月付短租 4号线沙柳南路泰昌路 万山道河东万达 武警医院,1,0,30,中层(共14层)                                                    ,融创融园汇莲馨苑,东丽,万新街,程永道,"邻地铁,押一付一,配套齐全,",1200,元/月
松风西里 近2号线屿东城地铁站 精装包物业取暖无中介,2,1,15,高层(共6层)                                                    ,松风西里,河东,东新街,恒山道,"独卫,独立阳台,邻地铁,",1000,元/月
香邑国际近程林东里菜市场可短租可月付精装修拎包入住无中介费,4,1,14.5,低层(共13层)                                                    ,香邑国际,东丽,万新街,"成林道,近登州路","独立单间,独卫,押一付一,配套齐全,",1000,元/月
喜塘优惠房源出炉 自住精装 配套齐  菜市场近,2,1,89.00,低层(共30层)                                                    ,喜塘苑,滨海新区,滨海城区,嘉泰路,"配套齐全,精装修,有阳台,随时看房,",1500,元/月
可月付 华苑地铁口 万隆大胡同 天百中心 鑫茂科技园 外环路,1,0,30,高层(共6层)                                                    ,侯台家园,西青,侯台,楚雄西道,"押一付一,配套齐全,精装修,南北通透,",1200,元/月
柳轩苑 大两室 南北通透 精装修 家具家电齐全 拎包入住,2,2,93,高层(共6层)                                                    ,柳轩苑,西青,杨柳青,杨柳青柳霞路,"配套齐全,精装修,有阳台,首次出租,",1700,元/月
盈江路 楚雄道附近进装修一居室1800押一付一 无中介费,1,1,35,高层(共7层)                                                    ,盈江西里,南开,天拖南,简阳路,"押一付一,配套齐全,精装修,",1800,元/月
津洲花园两室整租 押一付一 拎包入住 可短租,2,1,78,低层(共26层)                                                    ,津洲花园,西青,侯台,东环路,"押一付一,配套齐全,精装修,有阳台,",2200,元/月
直接200元急租人人乐对面  全齐自住 配备 房子是真好呀,2,2,90,低层(共11层)                                                    ,金友花园,西青,大寺,赛达大道,"配套齐全,精装修,南北通透,有阳台,",2300,元/月
金谊花园 1室1厅1卫 电梯房 配套齐全 精装修,1,1,60,中层(共18层)                                                    ,金谊花园,西青,大寺,芦北路,"配套齐全,精装修,有阳台,随时看房,",1500,元/月
免中介费 万达创业总部旁 尚清湾精装修找室友 押一付三随时住,2,1,20,低层(共17层)                                                    ,尚清湾(北区),武清,杨村街,"广源道,近泉旺路","独卫,独立阳台,配套齐全,精装修,",580,元/月
2号线咸阳路，精装修阳面主卧，家电齐全，拎包入住，随时看,3,1,16,高层(共6层)                                                    ,平定里,南开,向阳路,沁水道,"邻地铁,押一付一,配套齐全,",950,元/月
碧春园 2室1厅1卫 1600.0元 电梯房 59.0平米,2,1,59.0,高层(共34层)                                                    ,碧春园,红桥,双环邨街,"辰兴路,近南仓道","邻地铁,",1600,元/月
可短租可月付 十号线五号线昌凌路站 大津城 凌奥创意产业园,1,0,30,高层(共6层)                                                    ,悦雅花园(AC区),西青,李七庄,昌凌路,"邻地铁,押一付一,配套齐全,",1200,元/月
出租  祥和家园精装修两室包物业采暖,2,1,91,中层(共34层)                                                    ,世纪祥和家园(滨海),塘沽,新港街,春阳路,"配套齐全,精装修,南北通透,有阳台,",2600,元/月
科技大学附近 中医院旁合租次卧,4,1,20,低层(共17层)                                                    ,阅海名筑,塘沽,北塘街,"天池路,近梅州道","独卫,配套齐全,精装修,南北通透,",1100,元/月
港云里 精装修一室 临近万象城 地铁站西南楼 拎包入住,1,1,40,高层(共6层)                                                    ,港云里,河西,越秀路,广东路,"邻地铁,配套齐全,精装修,",1800,元/月
（新上必看好房）落地窗 精装两室全屋地砖 家具家电齐全 首住,2,1,87,中层(共7层)                                                    ,水木天成阁林园,红桥,西沽街,"团结环路,近江源东道","配套齐全,精装修,南北通透,首次出租,",3200,元/月
松风东里近二号线屿东城地铁包物业取暖精装修可拎包入住无中介费,3,1,16,低层(共6层)                                                    ,松风东里,河东,东新街,沙柳北路,"独立单间,独卫,邻地铁,押一付一,",1000,元/月
西沽街水竹花园精装修，拎包入住，可月付,3,1,20,高层(共6层)                                                    ,水竹花园,红桥,西沽街,湘潭道38号,"邻地铁,配套齐全,精装修,",1100,元/月
1号线财经大学 泉汇广场 振财里 精致单间 可短租月付无中介,4,1,17,共5层                                                    ,振财里,河西,柳林,珠江道25号,"独立阳台,邻地铁,押一付一,",901,元/月
直租！白领公寓拎包住实图！实地拍摄拒绝虚假康汇医院赛达产业园,1,1,39,高层(共6层)                                                    ,赤龙家园,西青,大寺,友谊南路,"押一付一,配套齐全,精装修,南北通透,",900,元/月
华腾里 出租 精装一室 拎包入住 随时看,1,1,55.0,共5层                                                    ,华腾里,河东,春华街,育才西路,"邻地铁,精装修,",1800,元/月
大唐洋房 包物业 免费停车 精装一室 拎包入住 随时看房,1,1,65.0,中层(共6层)                                                    ,海尔格林小镇风笛庭院,津南,津南八里台,天嘉湖大道,"配套齐全,精装修,有阳台,随时看房,",1100,元/月
房东诚心出租房子，出租，家具家电齐全拎包入住，随时入住。,3,2,118,高层(共11层)                                                    ,新城和兴府,津南,咸水沽,津沽大街,"配套齐全,南北通透,有阳台,首次出租,",2500,元/月
东瑞家园 1室1厅1卫 电梯房 48平,1,1,48.48,高层(共30层)                                                    ,东瑞家园,河东,常州道,"凤亭路,近鲁山道","配套齐全,有阳台,随时看房,",1500,元/月
金侨瑞公馆(一期) 2室1厅1卫 1300.0元 电梯房,2,1,75.0,高层(共9层)                                                    ,金侨瑞公馆(一期),北辰,大张庄镇,滨湖路,,1300,元/月
短租月付精装修拎包入住地铁10号线江湾二支路江湾广场华兰萨顿,1,0,25,中层(共27层)                                                    ,富力津门湖红树棕榈花园,西青,新梅江南,翠波道,"邻地铁,押一付一,配套齐全,",1650,元/月
四信公寓 精装loft  随时看房 实用面积100平左右,2,1,61.97,高层(共8层)                                                    ,四信公寓,河西,陈塘庄,洞庭路10号,"邻地铁,配套齐全,精装修,",3200,元/月
四部空调，可办公，可居住随时看房 设施齐,3,2,125,中层(共18层)                                                    ,同泽园(武清),武清,杨村街,泉州路,"配套齐全,南北通透,有阳台,随时看房,",2200,元/月
精装一室，芥园西道地铁站附近,1,1,48,高层(共7层)                                                    ,宜君北里,南开,向阳路,"密云路,近芥园西道","邻地铁,配套齐全,精装修,",1700,元/月
福泉花苑两室一厅一般装修家电齐全随时入住干净,2,1,89,高层(共19层)                                                    ,福泉花苑,西青,大寺,龙泉道,"配套齐全,南北通透,有阳台,随时看房,",1700,元/月
瑞翔家园 2室1厅1卫 2100.0元 电梯房 精装修,2,1,95.0,低层(共17层)                                                    ,瑞翔家园,北辰,北仓,辰兴路,"邻地铁,精装修,",2100,元/月
干净整洁 精装一室 家电齐全 拎包入住 随时看房,2,1,47.4,高层(共6层)                                                    ,丹凤里,北辰,果园新村,中学西路,,1100,元/月
整租  嘉陵道街  川北里  2室1厅,2,1,64.78,高层(共6层)                                                    ,川北里,南开,嘉陵道,宜宾道56号,,1700,元/月
