面积,价格,所在街道
101.45,2600,"姚江东路,近淮河南道"
120,1900,金钟街
59.95,1700,辰水道1号
41.69,1800,堤南道
18.82,1300,蒙古路
60,1500,咸阳北路
78.5,1400,顺畅路104号
25,500,"团结路,近强国道"
30,1400,津涞道
35,1300,梨双路
51.2,2400,"赵家场大街,近南运河北路"
62,3300,南大道244号
61.22,1550,福州道
178,14000,"吴家窑二号路,近成都道"
121,6200,大丰路10号
59.82,2600,狮子林大街91号
90,3600,"昌凌路,近绥江道"
100,2800,海河东路76号
73,1600,顺义道18号
83,1000,潮阳大道
90,4500,"春雨路,近芥园道"
61,1000,无暇街
98.64,1600,泰来西道
63.99,1200,金钟河道
37,1200,"徐州道,近车站北路"
52,1550,大连道
25,1900,拉萨道4号
65,1000,中南二街
87,2600,月牙河南路35号
88,800,国泰路
30,1200,胜利街571号
35,1200,海泰南北大街
92.78,1600,情景大道
105.6,5000,东马路60号
51,1700,"领世一大道,近领世环路"
100,1156,清泉路
58,1533,"佳宁道,近辰昌路"
107,8200,"吴家窑二号路,近成都道"
41,1400,杭州道8号
63,850,三纬路
100,4400,宾水西道
51.65,4600,东马路131号
125,1700,丰乐路11号
77,2300,津滨大道
30,1100,"鑫怡路,近建明道"
116.97,1600,泰和路
64,1500,凌宾路7号
45,1300,津塘公路
30,1300,大沽南路1009号
60.96,5200,滨江道221号
28,1200,七经路
48,2000,楚雄道85号
58,1300,泽恩路
93,800,北城东路147号
108,4900,洞庭路8号
67.45,1700,杭州道8号
92.51,2400,中山北路130号
60,2250,"宾水道,近环湖东路"
59,1850,咸阳路
30,1100,津滨线
42,2000,"湖影道,近玉泉路"
52.17,2100,铃铛阁街
53,1555,日纬路80号
40,1150,"景茗道,近微山南路"
89,1300,银河大道
132,2600,镜泊湖路690号
65,1400,吉庆道
56,1300,"天津大道,近德胜路"
56,2600,紫金山路
67.82,1400,顺畅路16号
144,4300,华苑路
42.34,1600,海洋道6号
49.65,1500,顺义道18号
36,2500,昆明路46号
85,1500,万象路
130,1400,205国道
197,6000,万科花园路
80,4300,围堤道
137.63,5400,华捷道60号
30.82,2400,卫津南路37号
114,2500,世纪大道
84,2000,大明道
75,900,津同公路151号
125,5000,枫林路
34,1545,汾水道59号
49,2100,"华宁道,近盈江路"
40,900,友谊南路
64,1300,中心北路
82.99,1500,北辰西道
36,1600,盈江路79号
35,999,友谊南路
40,1600,河北路3
57.57,3500,南京路125号
34.67,2000,黄河道
260,17500,"吴家窑二号路,近成都道"
62,600,"港南二路,近光明大道"
46,2600,"宾水西道,近凌宾路"
57.26,1300,"徐州道,近车站北路"
72,1800,民盛道
48.04,1600,泾水道
84,1133,"天和路,近于庄路"
59,2600,卫津路139号
114,1800,前进道
58,2900,卫津路46号
19,1299,凤山道
72.14,1900,上江路
44,1800,中心大道66号
50.1,1300,中学西路
60,2500,津港路
100,1700,迎宾大街
80,2300,文苑路
55.07,1100,果园北道36号
83,1600,欣展道
110,5000,"海河东路,近黑牛城道"
96,3600,"迎水道,近简阳路"
55,1100,"苑家楼路,近建设路"
80,1600,塘汉路789号
90,2900,"汾河道,近姚江东路"
65,4500,大沽南路
63.11,1900,南仓道
80.29,2000,海晨道
55,1700,泰佳道27号
89,2000,欣园道
84,1700,欣展道
89,1800,嘉泰路
120,4000,琳科西路
95.13,4500,宾水西道
52.66,1500,睿思道
29,1250,五经路16号
62,2600,八纬路113
64,2700,迎水道
63,1800,东环路
76.21,4500,北城街1471号
49,2400,南泥湾路4号
57,1100,"滨河道,近翠亨路"
65,1000,南大街
98,2700,津滨大道
63.83,2200,曲江路
89,2500,"雅馨路,近吉明路"
24.91,1500,邵公庄横街3号
9,1000,复康路
146,3200,福建北路321号
93,5000,"洞庭路,近昆仑路"
57,2700,琳科西路
76.44,1700,沈阳道298号
33.99,2500,旧津保路
55.08,1700,"海源道,近团结路"
140,3200,景盛路
78,4500,南京路
78.88,1500,"欣发道,近嘉顺路"
62,1400,新致道
123,5200,
26,1500,淦江路
106,3100,曲江路
86,1000,津岐路
40,900,杨六公路
89,1100,剧场西路
65.92,1700,"民盛道,近泽润路"
60,1500,京津公路
46.28,2600,环湖中南道4号
80,1600,芦北路
83,600,建设路
35,2000,泰昌路21号
63,1500,东环路479号
40.96,2200,西马路
80,900,杨六路
79.18,1500,"雍阳西道,近翠源路"
46,1200,龙顺道162号
85,1600,欣滨道
75,1500,泽润路
42,3500,南京路239号
40.12,1400,密云路4号
50,2500,|沈阳道曲阳胡同
64,1600,鸿信路
93.07,2600,跃进路
74,1100,环湖东路
40.3,1000,解放路668号
39.87,2100,北长路66号
77.98,1800,养鱼池路37号
92.22,2300,新明路
38,2000,二纬路
93,1100,361省道
50,2800,"华宁道,近盈江路"
35,2300,"纪庄子北道,近紫金山西路"
22,1500,建国道92号
42,2000,红旗南路
32,2000,围堤道
66.55,4000,新疆路2号
54.2,2600,贵阳路13号
50,1600,卫国道115号
100,5000,南京路39号
55,1900,春风路
86,1400,顺畅路104号
64,2900,淦江路1号
101.2,2500,"团结环路,近江源东道"
41,2000,越秀路15号
77.9,2600,艳阳路
385.58,40000,荣业大街76号
106,3800,江湾路102号
41.86,1200,果园北道36号
109,5100,大丰路10号
101.74,5500,宾水西道
42.09,1700,密云路53号增8号
26,2300,拉萨道4号
38,1009,万卉路
180,5000,海河东路76号
30,1100,津滨大道
32,1099,昌图道
114.53,4100,"中北大道,近星光路"
132,1600,津塘公路
63,1350,嘉定西路
90.23,6800,东马路131号
68,1300,西青道
45,1400,楚雄西道
30,2100,红旗南路
90,4500,福建路84号
69.36,1600,果园北道3号
53.39,1400,福东路2号
40,1200,安顺道
30,1200,"辰昌路,近龙泉道"
48.78,2000,"农裕大街,近复康路"
40,1250,"柳杨道,近青宝路"
36,1800,柳江路6增1号
25,2000,拉萨道4号
126.43,4400,卫国道
33.16,1200,果园北道
65,1700,梅州道910号
41,1200,上海道2839号
131,5300,光荣道185号
77.28,2000,新明路
65,2065,跃进路
65,2020,跃进路
83.37,3500,津京公路
50,2300,"宾水西道,近凌宾路"
57,2800,钢厂路
80,2400,枣林大道
53.1,1600,"古北道,近雁门路"
76,2000,中北大道
40,1200,杭州道
90.97,2400,天河东路
90,1500,雅兰道
105,3600,"东八道,近航海道"
87,2700,春阳路681号
120,2300,海泰南北大街
66,2600,南泥湾路4号
64.43,2000,红旗南路580号
89,2000,欣园道
118,3600,"凤展道,近卫津南路"
91.16,1800,"天池路,近梅州道"
85,2300,景荷道
85,2300,"中北大道,近星光路"
90,1300,林海路
57,2600,南泥湾路4号
96,4800,宾水西道
30,1000,光荣道
138,2500,尚德路
76.28,2800,靖江路
76,4000,北城街1471号
103,2400,赤海路
45,2600,台儿庄路
88.86,2600,东海路
63,1900,东环路
89,2800,宜白路
90,1800,205国道
110,3500,仁爱大道
47,1000,胜利街240号
53.09,1500,大沽南路1068号
43,900,友谊南路
62,1200,果园北道3号
133.75,4200,万德庄大街148号
76.41,3800,开封道2号
108.68,3000,中山路88号
37.3,2000,红旗南路
64,1300,"团结路,近强国道"
93.8,1000,东环路
56,1200,胜利街240号
93,3500,"华苑路,近锦环道"
90,1800,"泉发路,近振华西道"
76.09,2600,"日月路,近南运河南路"
132,8500,六纬路238号
94.6,2200,瑞景西道5号
42.42,1400,"栖霞道,近招远路"
34.11,2150,二马路
70,1900,咸阳北路
145,2400,赛达大道
120.72,2700,"二纬路,近二经路"
80,900,宝平公路
170,1999,天嘉湖大道
27,1800,"泗水道,近微山路"
83,2800,曲江路33号
109,900,天嘉湖大道
40,1200,微山路38号
58.87,2000,"万卉路,近御河道"
66,4000,卫国道
62.83,1250,果园北道36号
106,3800,"日月路,近南运河南路"
41.81,1400,招远路2号
59,1300,京津公路252号
60,800,军粮城大街
40,1400,宜白路
70,1300,北仓道
40.2,1800,双峰道
32,1300,"拜泉道,近虎林路"
63,1300,"紫江路,近南华路"
110,2000,新华道
72.6,1300,兴盛道
77,1000,津歧公路
53.49,2000,淦江路
70,2100,增产道151号
53.87,1500,"辰兴路,近南仓道"
80,2200,顺达路
69.82,1300,"红旗路,近津沽大街"
60,2300,"环湖南道,近环湖中路"
30,1300,"红塔寺大道,近桃花堤西道"
55,2400,淦江路
96.17,2600,秀丽南道2号
80,1350,京津公路
30.3,2000,
100,1800,北仓道
64,1800,岷江路10号
59.74,1500,"招远路,近栖霞道"
33.86,2000,南开二马路187号
81,1000,人民西路
82.6,2200,瑞景西道5号
85,2900,友谊路
42.48,1600,小革新道19
63,1300,"团结路,近强国道"
109.89,3500,新开路136号
44,900,"东环路,近迎宾大街"
85,2000,四里沽路
39,2100,"宾水西道,近凌宾路"
54,2450,"宾水西道,近凌宾路"
104,7000,洞庭路92号
123,3000,"中津大道,近中天大道"
83,2000,"常海道,近北华北路"
89.39,2400,"云山道,近靖海路"
53.32,1500,营雅路
54,2500,"宾水西道,近凌宾路"
82,2500,宜白路
93,2000,"名盛道,近华庭路"
124,2500,新安路
85,2260,跃进路
100,4000,龙涵道382号
67,1699,华山道
86,1500,欣滨道
60,2150,陵水道
65,1600,石油新村路
70,2100,津港公路
84,2700,"东六道,近兴宇路"
84,3000,幸福街
76.78,2500,"海泰大道,近华科大街"
96,2300,东环路
80.58,3000,"月牙河北路,近津塘路"
76,2500,浯水道
41.32,900,友谊南路
114.17,6800,东马路131号
127,3000,"北华路,近东昌道"
78,2600,"才智道,近学府中路"
116,4000,海泰南北大街
97,2800,浯水道95号
59.02,1800,先锋路
76,2400,"海泰大道,近华科大街"
78,2300,新港三号路
63,3000,"宾水西道,近凌宾路"
90,1200,五经路
60,2700,南京路125号
41,1200,翠亨路
76,1500,京津路1号
65,2500,
35,1600,中北大道
86.9,3200,诗景路
28,1650,五经路16号
51.51,2300,南京路125号
57,2000,"新港三号路,近港医路"
90,1200,一经路
50,3600,绍兴道1号
110,2100,317省道
40,1700,月牙河南路35号
51.59,1900,"旌智道,近新英路"
80,2600,津涞道
41,1300,京福公路
86,1300,四里沽路
63,1600,嘉定西路
30,1300,程春路
43,1500,安顺道
92,1100,环城南路
51.59,1800,"旌智道,近新英路"
91,1400,205国道
90,2100,付村路
30,1650,星光路
54,2300,芥园西道
32.27,1300,津塘路187号
73,1600,欣永路
45,1450,苏州路
39.69,1200,果园北道36号
54,3450,"天塔道,近卫津南路"
62,1600,"渌水道,近桐林路"
100,2000,新平道
89,600,津围公路
50,2000,鞍山西道
135,4800,万德庄南北街
39.14,1780,"宾水道,近沿河路"
47,1400,外环西路
63,950,霞光路
33.32,3000,昆明路5号
38.82,2150,南开二纬路
49,1300,华盛道65号
74,1600,东盐路
70,1500,向阳街
62.45,1000,人民西路
67.35,1300,泽恩路
12.2,1350,复康路
63.89,1600,南仓道
48.75,800,"东风南路,近人民街"
52.29,1500,育红路7号
85,1500,汇川路
87,3500,江湾路102号
49.75,1000,银河大道1号
51.64,2100,"新开路,近华龙道"
30,1700,大沽南路670号
57,2600,鞍山西道307号
53.56,1800,"泗水道,近学苑路"
21.9,1300,先锋路
39,1100,安达路
80,1600,港兴道
110,1700,金华路
38.54,1760,"宾水西道,近凌宾路"
80.51,2600,"广秀路,近津涞公路"
90,1700,赛达大道
135,2400,324省道
90,2500,"星光路,近卉安道"
85,2000,"津涞公路,近工一号路"
88,2000,"尧山道,近威海路"
93,3400,"东六道,近兴宇路"
100,2200,中天大道2377号
55,2400,密云一支路
74,2100,汪庄村中街
128,2800,滨河道
54,2100,常州道17号
85,5000,迎水道100号
64.66,1600,河北西路1116号
93,1600,无终园大街
92,1500,渠阳大街1号
30,1200,"才智道,近学府中路"
71.3,3000,"宾水西道,近凌宾路"
78,3100,海泰南北大街
30,1300,"才智道,近学府中路"
57.26,2100,津京公路
69.59,3000,琳科西路
68,2620,南泥湾路4号
95,2800,京华道
57,2600,"外环西路,近红旗南路"
60,1300,香林路
85,1700,"朝阳路,近绿荫西路"
84,2000,镜泊湖路690号
92,3000,富民路甲2号
85,2500,"观湖路,近东六道"
65,3000,钢厂路
104,2300,新科道
70,2000,津港公路
71,2600,华龙道
50,2400,黑牛城道
75,1200,210省道
72,1900,雅安道97号
32.18,2200,兴安路22号
52,1500,建国大街131号
114,4500,江湾路
85,2300,"津涞公路,近工一号路"
68.64,1800,荣盛路
90,1100,汉水路
93,2600,海景大道
96.28,1500,四清新村新路
75,1600,京津公路252号
90,1500,三八河路
85.58,3200,"月牙河北路,近津塘路"
89.05,2600,惠山道
46,2500,"红旗南路,近简阳路"
110.28,5800,宾水西道
53,1500,辽河南道
60,1900,"泗水道,近梅林路"
239,10000,宾水西道
87,2100,储祥道
40,1600,新津一支路
50,2000,密云一支路
55,1300,芦北路
78,2000,芦北路
78,1250,"团结路,近强国道"
50,1500,"天和道,近高峰南路"
70,1700,"杭州道,近河北路"
53.41,1800,"新桂路,近旌智路"
35,2300,常德道56号
37,1300,"杭州道,近玉津街"
72,1700,万东路20号
30.85,1700,"芥园西道,近立新路"
40,1600,辰水道1号
100,1500,翠亨路
49.3,2100,"华宁道,近盈江路"
115,3500,红旗南路532号
58.89,3300,福安大街168号
88,1500,欣滨道
84,1350,小淀路
40,1700,双水道
55,2300,黑牛城道
90,1400,"州河湾西街,近青池西街"
25,1400,卫国道157号
90,1200,同安道
102,4000,"昌凌路,近淄环路"
58,3600,郁江道37号
220,13500,"吴家窑二号路,近成都道"
42.3,1800,辰水道1号
35,2200,永安道195号
57.99,1500,菜市场路
90,1000,南关大街
118.94,2100,开发道
40,1100,解放路668号
63.07,2000,北城街
95,3800,环岛西路
75,1500,望达街198号
40.16,2100,园荫道24号
51,3300,大连道2号
95,1300,潮阳大道
30,1300,景荷道
62.76,2800,冶金路20号
73,3500,"芥园道,近复兴路"
37.23,1300,红旗路
167,3300,东八道
40.32,1600,临水道
108.53,5400,"西马路,近鼓楼西街"
74,1800,"学苑路,近泗水道"
70,1500,赛达大道
92,2500,浯水道
67,1050,东环路
45,900,乾元道2号
64,1600,鸿信路
58,1700,红星路
42,1150,
93,1500,营建路
91.67,2500,津围公路
72,2000,招远路2号
88.96,2000,"同声路,近月牙河西路"
40,1100,解放路
40,1900,中山路
65,1600,京华道
46,1700,东江道11号
86.61,1400,顺境路
38,1900,红旗南路
40,2000,大沽南路462号
60,1500,复康路
49,850,环湖东路
51,1200,朝阳路
66,1850,直沽街
88.85,2300,"祁连路,近彩丽环路"
31.72,1100,集园道
90,1800,津涞公路
69.42,4100,六纬路91号
40,2490,礼貌大街26号
59.62,2000,保山道
35,1650,"泗水道,近微山路"
47,1750,泰昌路21号
89,1000,一纬路44号
30,1400,卫国道157号
55,2600,津滨大道
72,850,建设路
44.33,1400,"辰兴路,近南仓道"
30,1500,普济河东道
52,1800,金江路76号
35,1200,礼貌大街31号
39,2400,"环湖南道,近环湖中路"
41.78,1700,弘贯道
93,1100,"潮阳大道,近开元路"
69.36,1500,果园北道3号
116,1650,"坤元路,近界河路"
80,1600,赛达大道
50.41,2200,成林路91
75.6,2500,红旗南路
40.69,1200,"姚江路,近辽河南道"
70.53,1700,"雪莲南路,近茅山道"
47,2300,福安大街168号
110,1550,丰泽道
67.88,3500,城厢东路56号
56.28,3200,城厢东路56号
93,1800,庄园南道91号
60,1100,任环路
48,2200,万德庄大街137号
42,850,京津公路
53,1700,团结路9号
30,2000,迎水道
42,2300,万峰路29号
50,2500,气象台路5号
52.17,2700,城厢东路56号
54,3800,郁江道37号
49.35,1600,"千山道,近雪山南路"
102.78,2500,第四大街95号
41,1300,果园北道36号
76.69,5200,贵阳路79号
41,1500,广州道
89,3500,复康路
